  5,274,575,254  99% - ...
  5,274,575,254  99%  - call-interactively@ido-cr+-record-current-command
  5,274,575,254  99%   - #<primitive-function call-interactively>
  5,274,575,254  99%    - funcall-interactively
  5,274,575,254  99%     - smex
  5,274,575,254  99%      - smex-read-and-run
  5,274,575,254  99%       - execute-extended-command
  5,274,575,254  99%        - command-execute
  5,274,575,254  99%         - call-interactively
  5,274,575,254  99%          - apply
  5,274,575,254  99%           - call-interactively@ido-cr+-record-current-command
  5,274,575,254  99%            - #<primitive-function call-interactively>
  5,274,575,254  99%             - funcall-interactively
  5,274,575,254  99%              - pel-profile-all
  5,274,575,254  99%               - pel-profile-indent
  5,274,575,254  99%                - pel-profile-indentation-test-of
  5,272,994,458  99%                 - call-interactively
  5,272,994,458  99%                  - apply
  5,272,994,458  99%                   - call-interactively@ido-cr+-record-current-command
  5,272,994,458  99%                    - #<primitive-function call-interactively>
  5,272,994,458  99%                     - funcall-interactively
  5,272,994,442  99%                      - seed7-complete-statement-or-indent
  5,272,994,442  99%                       - seed7-indent-region
  5,272,994,442  99%                        - seed7--indent-one-line
  4,682,456,356  88%                         - seed7-calc-indent
  3,354,637,539  63%                          - seed7-line-inside-parens-pair-column
  3,354,637,539  63%                           - seed7-line-inside-parens-pair
  3,328,021,342  63%                            - seed7-re-search-backward
  3,315,679,930  62%                             - run-with-timer
  3,315,679,930  62%                              - run-at-time
  1,859,094,825  35%                               - timer-activate
  1,859,094,825  35%                                - timer--activate
  1,858,832,489  35%                                 - timer--time-less-p
      3,612,470   0%                                    timer--time
    892,639,599  16%                                 timer-relative-time
    563,943,247  10%                               - timer-set-time
    563,935,760  10%                                  timer--time-setter
          2,259   0%                                 timer-set-function
      9,883,843   0%                               re-search-backward
      1,391,769   0%                             - seed7-inside-comment-p
      1,391,769   0%                              - syntax-ppss
      1,213,304   0%                                 parse-partial-sexp
         13,562   0%                                 #<byte-code-function 04A>
            670   0%                                 syntax-table
        963,199   0%                             - seed7-inside-string-p
        832,031   0%                              - syntax-ppss
        819,800   0%                                 parse-partial-sexp
          1,217   0%                                 #<byte-code-function 2E5>
            875   0%                                 syntax-table
          4,225   0%                               make-closure
     25,665,229   0%                            - forward-sexp
     25,659,080   0%                               seed7--forward-sexp-function
    762,787,043  14%                          - seed7-position-of-end-of-statement
    762,787,043  14%                           - seed7-line-code-ends-with
    762,754,251  14%                            - seed7-re-search-backward
    762,561,160  14%                             - run-with-timer
    762,561,160  14%                              - run-at-time
    427,339,984   8%                               - timer-activate
    427,339,984   8%                                - timer--activate
    427,339,984   8%                                 - timer--time-less-p
        327,920   0%                                    timer--time
    205,463,200   3%                                 timer-relative-time
    129,757,976   2%                               - timer-set-time
    129,757,976   2%                                  timer--time-setter
         90,112   0%                               re-search-backward
         65,584   0%                             - seed7-inside-string-p
         65,584   0%                              - syntax-ppss
         65,584   0%                                 parse-partial-sexp
         37,395   0%                             - seed7-inside-comment-p
         37,395   0%                              - syntax-ppss
         32,792   0%                                 parse-partial-sexp
          4,603   0%                                 #<byte-code-function F71>
         32,792   0%                              seed7-move-to-line
    136,550,487   2%                          - seed7-line-inside-a-block-cached
    136,550,487   2%                           - seed7-line-inside-a-block
     82,928,726   1%                            - seed7--safe-enclosing-block-bounds
     82,928,726   1%                             - seed7--block-end-pos-for
     82,688,726   1%                              - seed7-to-block-forward
     48,647,288   0%                               - seed7-re-search-forward
     33,732,901   0%                                - seed7-inside-comment-p
     33,732,901   0%                                 - syntax-ppss
     33,732,901   0%                                  - syntax-propertize
     33,732,901   0%                                     seed7-mode-syntax-propertize
         32,792   0%                                - seed7-inside-string-p
         32,792   0%                                 - syntax-ppss
         32,792   0%                                    parse-partial-sexp
     13,310,320   0%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         32,792   0%                                - seed7-inside-comment-p
         32,792   0%                                 - syntax-ppss
         32,792   0%                                    parse-partial-sexp
     10,003,552   0%                               - seed7--current-line-nth-word
     10,003,552   0%                                - thing-at-point
      8,945,152   0%                                 - bounds-of-thing-at-point
      6,743,616   0%                                  - #<byte-code-function 4EB>
      6,743,616   0%                                   - forward-thing
      6,743,616   0%                                      format
      2,160,576   0%                                  - #<byte-code-function 9A9>
      2,160,576   0%                                   - forward-thing
      2,160,576   0%                                      format
         40,960   0%                                    re-search-forward
      9,810,846   0%                               - seed7-end-of-defun
      9,422,040   0%                                - seed7-top-block-name
      9,395,472   0%                                 - seed7--to-top
      9,081,728   0%                                  - seed7-re-search-backward
      9,010,982   0%                                   - run-with-timer
      9,010,982   0%                                    - run-at-time
      5,540,982   0%                                     - timer-activate
      5,540,982   0%                                      - timer--activate
      5,540,982   0%                                         timer--time-less-p
      2,126,768   0%                                       timer-relative-time
      1,343,232   0%                                     - timer-set-time
      1,343,232   0%                                        timer--time-setter
         32,834   0%                                   - seed7-inside-string-p
             42   0%                                      syntax-ppss
         32,792   0%                                   - seed7-inside-comment-p
         32,792   0%                                    - syntax-ppss
         32,792   0%                                       parse-partial-sexp
          5,120   0%                                     re-search-backward
        280,952   0%                                  - run-with-timer
        280,952   0%                                   - run-at-time
        139,040   0%                                    - timer-activate
        139,040   0%                                     - timer--activate
        139,040   0%                                        timer--time-less-p
         99,672   0%                                      timer-relative-time
         42,240   0%                                    - timer-set-time
         42,240   0%                                       timer--time-setter
         26,568   0%                                 - seed7--block-name
         13,264   0%                                    match-string
          5,120   0%                                    seed7-re-search-forward
        280,952   0%                                - seed7-re-search-backward
        248,160   0%                                 - run-with-timer
