  2,125,732,921  99% - ...
  2,125,732,921  99%  - call-interactively@ido-cr+-record-current-command
  2,125,732,921  99%   - #<primitive-function call-interactively>
  2,125,732,921  99%    - funcall-interactively
  2,125,732,921  99%     - smex
  2,125,732,921  99%      - smex-read-and-run
  2,125,732,921  99%       - execute-extended-command
  2,125,732,921  99%        - command-execute
  2,125,732,921  99%         - call-interactively
  2,125,732,921  99%          - apply
  2,125,732,921  99%           - call-interactively@ido-cr+-record-current-command
  2,125,732,921  99%            - #<primitive-function call-interactively>
  2,125,732,921  99%             - funcall-interactively
  2,125,732,921  99%              - pel-profile-all
  2,125,732,921  99%               - pel-profile-indent
  2,125,732,921  99%                - pel-profile-indentation-test-of
  2,124,152,125  99%                 - call-interactively
  2,124,152,125  99%                  - apply
  2,124,152,125  99%                   - call-interactively@ido-cr+-record-current-command
  2,124,152,125  99%                    - #<primitive-function call-interactively>
  2,124,152,125  99%                     - funcall-interactively
  2,124,152,109  99%                      - seed7-complete-statement-or-indent
  2,124,152,109  99%                       - seed7-indent-region
  2,124,152,109  99%                        - seed7--indent-one-line
  2,124,152,109  99%                         - seed7-calc-indent
  1,901,402,592  89%                          - seed7-line-inside-parens-pair-column
  1,901,402,592  89%                           - seed7-line-inside-parens-pair
  1,896,108,346  89%                            - seed7-re-search-backward
  1,893,783,443  88%                             - run-with-timer
  1,893,783,443  88%                              - run-at-time
  1,061,071,911  49%                               - timer-activate
  1,061,071,911  49%                                - timer--activate
  1,061,071,911  49%                                 - timer--time-less-p
         23,174   0%                                    timer--time
    510,364,536  23%                                 timer-relative-time
    322,339,676  15%                               - timer-set-time
    322,332,384  15%                                  timer--time-setter
          7,320   0%                                 timer-set-function
      2,221,945   0%                               re-search-backward
         51,185   0%                             - seed7-inside-string-p
         47,041   0%                              - syntax-ppss
         13,916   0%                                 #<byte-code-function F63>
          7,582   0%                                 syntax-table
         37,147   0%                             - seed7-inside-comment-p
         37,147   0%                              - syntax-ppss
         18,925   0%                                 #<byte-code-function 668>
          7,384   0%                                 syntax-table
         14,626   0%                               make-closure
      5,294,246   0%                            - forward-sexp
      5,283,272   0%                               seed7--forward-sexp-function
    128,893,163   6%                          - seed7-line-inside-a-block-cached
    128,893,163   6%                           - seed7-line-inside-a-block
    116,461,241   5%                            - seed7--safe-enclosing-block-bounds
    116,432,233   5%                             - seed7--block-end-pos-for
    116,346,857   5%                              - seed7-to-block-forward
    106,392,569   4%                               - seed7-re-search-forward
     52,225,371   2%                                - seed7-inside-comment-p
     12,074,155   0%                                 - syntax-ppss
     12,037,857   0%                                  - syntax-propertize
     11,982,384   0%                                     seed7-mode-syntax-propertize
          1,601   0%                                     #<byte-code-function E00>
         20,720   0%                                    make-closure
          5,446   0%                                    #<byte-code-function 4C7>
          4,144   0%                                    parse-partial-sexp
          2,932   0%                                    syntax-table
     50,646,866   2%                                - seed7-inside-string-p
         36,194   0%                                 - syntax-ppss
         29,008   0%                                    make-closure
            355   0%                                    syntax-table
            235   0%                                    #<byte-code-function 0C6>
      3,202,096   0%                               - user-error
      3,202,096   0%                                  format-message
      2,871,176   0%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        111,888   0%                                  seed7-inside-line-indent-before-comment-p
      1,864,344   0%                               - seed7-end-of-defun
      1,753,880   0%                                - seed7-top-block-name
      1,727,296   0%                                 - seed7--to-top
      1,628,032   0%                                  - seed7-re-search-backward
      1,628,032   0%                                   - run-with-timer
      1,628,032   0%                                    - run-at-time
      1,001,088   0%                                     - timer-activate
      1,001,088   0%                                      - timer--activate
      1,001,088   0%                                         timer--time-less-p
        384,256   0%                                       timer-relative-time
        242,688   0%                                     - timer-set-time
        242,688   0%                                        timer--time-setter
         99,264   0%                                  - run-with-timer
         99,264   0%                                   - run-at-time
         55,616   0%                                    - timer-activate
         55,616   0%                                     - timer--activate
         55,616   0%                                        timer--time-less-p
         26,752   0%                                      timer-relative-time
         16,896   0%                                    - timer-set-time
         16,896   0%                                       timer--time-setter
         26,584   0%                                 - seed7--block-name
          2,032   0%                                    match-string
         99,264   0%                                - seed7-re-search-backward
         99,264   0%                                 - run-with-timer
         99,264   0%                                  - run-at-time
         55,616   0%                                   - timer-activate
