  1,242,346,970  99% - ...
  1,242,346,970  99%  - #<primitive-function call-interactively>
  1,242,346,970  99%   - funcall-interactively
  1,242,346,970  99%    - smex
  1,242,346,970  99%     - smex-read-and-run
  1,242,346,970  99%      - execute-extended-command
  1,242,346,970  99%       - command-execute
  1,242,346,970  99%        - call-interactively
  1,242,346,970  99%         - apply
  1,242,346,970  99%          - call-interactively@ido-cr+-record-current-command
  1,242,346,970  99%           - #<primitive-function call-interactively>
  1,242,346,970  99%            - funcall-interactively
  1,242,346,970  99%             - pel-profile-all
  1,242,346,970  99%              - pel-profile-dir
  1,242,346,970  99%               - pel-profile-indent
  1,242,346,970  99%                - pel-profile-indentation-test-of
  1,240,766,174  99%                 - call-interactively
  1,240,766,174  99%                  - apply
  1,240,766,174  99%                   - call-interactively@ido-cr+-record-current-command
  1,240,766,174  99%                    - #<primitive-function call-interactively>
  1,240,766,174  99%                     - funcall-interactively
  1,240,766,158  99%                      - seed7-complete-statement-or-indent
  1,240,766,158  99%                       - seed7-indent-region
  1,240,766,158  99%                        - seed7--indent-one-line
  1,240,766,158  99%                         - seed7-calc-indent
    395,074,681  31%                          - seed7-line-inside-parens-pair-column
    395,074,681  31%                           - seed7-line-inside-parens-pair
    389,168,448  31%                            - seed7-re-search-backward
    377,423,208  30%                             - run-with-timer
    377,423,208  30%                              - run-at-time
    184,013,355  14%                               - timer-activate
    184,013,355  14%                                - timer--activate
    184,013,355  14%                                 - timer--time-less-p
          1,173   0%                                    timer--time
    118,231,515   9%                                 timer-relative-time
     74,747,106   5%                               - timer-set-time
     74,747,024   5%                                  timer--time-setter
        430,976   0%                                 timer-create
            256   0%                                 timer-set-function
     10,660,064   0%                               re-search-backward
        467,679   0%                             - seed7-inside-string-p
        161,023   0%                              - syntax-ppss
        157,472   0%                                 make-closure
          3,551   0%                                 #<byte-code-function 22A>
        394,147   0%                             - seed7-inside-comment-p
        253,251   0%                              - syntax-ppss
        252,784   0%                                 make-closure
            467   0%                                 #<byte-code-function 66A>
        223,350   0%                               make-closure
      5,906,233   0%                            - forward-sexp
      5,906,232   0%                               seed7--forward-sexp-function
    294,648,315  23%                          - seed7-line-inside-a-block-cached
    294,648,315  23%                           - seed7-line-inside-a-block
    139,396,614  11%                            - seed7--safe-enclosing-block-bounds
    139,321,873  11%                             - seed7--block-end-pos-for
    137,456,001  11%                              - seed7-to-block-forward
     55,006,855   4%                               - seed7-end-of-defun
     53,186,215   4%                                - seed7-top-block-name
     53,026,181   4%                                 - seed7--to-top
     52,162,725   4%                                  - seed7-re-search-backward
     52,111,232   4%                                   - run-with-timer
     52,111,232   4%                                    - run-at-time
     25,409,648   2%                                     - timer-activate
     25,409,648   2%                                      - timer--activate
     25,409,648   2%                                         timer--time-less-p
     16,365,456   1%                                       timer-relative-time
     10,336,128   0%                                     - timer-set-time
     10,336,128   0%                                        timer--time-setter
         41,664   0%                                     re-search-backward
          8,737   0%                                   - seed7-inside-comment-p
          8,737   0%                                    - syntax-ppss
          8,353   0%                                     - syntax-propertize
          8,353   0%                                        seed7-mode-syntax-propertize
            384   0%                                       #<byte-code-function 6AA>
            909   0%                                   - seed7-inside-string-p
            909   0%                                      syntax-ppss
            183   0%                                     make-closure
        863,456   0%                                  - run-with-timer
        863,456   0%                                   - run-at-time
        421,024   0%                                    - timer-activate
        421,024   0%                                     - timer--activate
        421,024   0%                                        timer--time-less-p
        271,168   0%                                      timer-relative-time
        171,264   0%                                    - timer-set-time
        171,264   0%                                       timer--time-setter
        160,034   0%                                 - seed7--block-name
        131,474   0%                                    seed7-re-search-forward
         20,376   0%                                    match-string
        863,456   0%                                - seed7-re-search-backward
        863,456   0%                                 - run-with-timer
        863,456   0%                                  - run-at-time
        421,024   0%                                   - timer-activate
        421,024   0%                                    - timer--activate
        421,024   0%                                       timer--time-less-p
        271,168   0%                                     timer-relative-time
        171,264   0%                                   - timer-set-time
        171,264   0%                                      timer--time-setter
        620,390   0%                                - seed7-re-search-forward
        189,428   0%                                 - internal--syntax-propertize
        189,428   0%                                  - syntax-propertize
        189,428   0%                                     seed7-mode-syntax-propertize
         98,434   0%                                 - seed7-inside-comment-p
         98,434   0%                                  - syntax-ppss
         98,434   0%                                   - syntax-propertize
         98,434   0%                                      seed7-mode-syntax-propertize
         76,424   0%                                  match-string
     38,195,686   3%                               - seed7--current-line-nth-word
     37,961,524   3%                                - thing-at-point
     24,996,746   2%                                 - bounds-of-thing-at-point
     14,904,891   1%                                  - #<byte-code-function 906>
     14,904,033   1%                                   - forward-thing
     14,903,064   1%                                      format
            969   0%                                      intern-soft
      8,381,672   0%                                  - #<byte-code-function 67B>
      8,381,103   0%                                   - forward-thing
      8,380,416   0%                                      format
            687   0%                                      intern-soft
        837,088   0%                                    make-closure
        296,795   0%                                  - seq-some
        294,224   0%                                     make-closure
          2,384   0%                                     seq-do
        207,484   0%                                    re-search-forward
     29,732,569   2%                               - seed7-re-search-forward
      7,980,668   0%                                - seed7-inside-comment-p
      7,835,628   0%                                 - syntax-ppss
      7,683,287   0%                                  - syntax-propertize
      7,670,855   0%                                     seed7-mode-syntax-propertize
        145,040   0%                                    make-closure
          4,482   0%                                    #<byte-code-function FE6>
          2,819   0%                                    syntax-table
        821,642   0%                                - seed7-inside-string-p
        183,826   0%                                 - syntax-ppss
        182,336   0%                                    make-closure
         43,003   0%                                - internal--syntax-propertize
         43,003   0%                                 - syntax-propertize
         43,003   0%                                    seed7-mode-syntax-propertize
     10,812,421   0%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        121,429   0%                                - seed7-inside-comment-p
         70,971   0%                                 - syntax-ppss
         70,448   0%                                    make-closure
            523   0%                                    #<byte-code-function 572>
        111,952   0%                                - seed7-inside-line-indent-before-comment-p
             64   0%                                 - seed7-inside-comment-p
             64   0%                                  - syntax-ppss
             64   0%                                     #<byte-code-function 951>
      3,438,694   0%                                 seed7--end-regexp-for
        114,513   0%                               - seed7-inside-comment-p
         64,233   0%                                - syntax-ppss
         62,160   0%                                   make-closure
          1,094   0%                                   syntax-table
            300   0%                                   #<byte-code-function 052>
        109,679   0%                               - seed7-inside-line-indent-before-comment-p
          1,935   0%                                  seed7-to-indent
      1,248,849   0%                              - seed7--line-ends-a-statement-p
        949,457   0%                                 looking-at
        299,392   0%                               - forward-sexp
        299,392   0%                                  seed7--forward-sexp-function
        263,376   0%                              - seed7-to-next-line-starts-with
        214,272   0%                                 seed7-re-search-forward
         27,648   0%                              - seed7-re-search-forward-closest
         27,648   0%                                 seed7-re-search-forward
    126,564,750  10%                            - seed7-re-search-backward
    111,932,697   8%                             - run-with-timer
    111,932,697   8%                              - run-at-time
     54,541,451   4%                               - timer-activate
     54,541,451   4%                                - timer--activate
     54,541,451   4%                                 - timer--time-less-p
          2,287   0%                                    timer--time
     35,041,582   2%                                 timer-relative-time
     22,186,775   1%                               - timer-set-time
     22,184,944   1%                                  timer--time-setter
        161,616   0%                                 timer-create
          1,273   0%                                 timer-set-function
     13,865,276   1%                               re-search-backward
        577,222   0%                             - seed7-inside-string-p
        150,390   0%                              - syntax-ppss
         82,880   0%                                 make-closure
         65,584   0%                                 parse-partial-sexp
            923   0%                                 syntax-table
        129,059   0%                             - seed7-inside-comment-p
         62,755   0%                              - syntax-ppss
         62,160   0%                                 make-closure
         60,496   0%                               make-closure
     17,009,469   1%                            - replace-regexp-in-string
      1,663,189   0%                               concat
            785   0%                               #<byte-code-function EA7>
      5,379,320   0%                              match-string
      2,066,744   0%                              seed7--indent-offset-for
      1,367,954   0%                            - seed7-calc-indent
        354,752   0%                             - seed7-line-inside-parens-pair-column
        354,752   0%                              - seed7-line-inside-parens-pair
        340,416   0%                               - seed7-re-search-backward
        310,728   0%                                - run-with-timer
        310,728   0%                                 - run-at-time
        151,512   0%                                  - timer-activate
        151,512   0%                                   - timer--activate
        151,512   0%                                      timer--time-less-p
         97,584   0%                                    timer-relative-time
         61,632   0%                                  - timer-set-time
         61,632   0%                                     timer--time-setter
         29,688   0%                                  re-search-backward
         14,336   0%                               - forward-sexp
         14,336   0%                                  seed7--forward-sexp-function
        156,424   0%                             - seed7-line-at-endof-array-definition-block
        100,640   0%                              - seed7-line-code-ends-with
        100,640   0%                               - seed7-re-search-backward
         65,824   0%                                - run-with-timer
         65,824   0%                                 - run-at-time
         32,096   0%                                  - timer-activate
         32,096   0%                                   - timer--activate
         32,096   0%                                      timer--time-less-p
         20,672   0%                                    timer-relative-time
         13,056   0%                                  - timer-set-time
         13,056   0%                                     timer--time-setter
         34,816   0%                                  re-search-backward
         35,864   0%                              - backward-sexp
         35,864   0%                               - forward-sexp
         35,864   0%                                - seed7--forward-sexp-function
