  2,782,853,184  99% - ...
          1,281   0%                                - seed7-inside-comment-p
          1,281   0%                                 - syntax-ppss
          1,281   0%                                    #<byte-code-function 897>
          1,064   0%                                  make-closure
         18,912   0%                               - forward-sexp
         18,432   0%                                  seed7--forward-sexp-function
        108,450   0%                             - seed7-line-is-defun-end
         41,976   0%                              - seed7-line-starts-with-any
         41,976   0%                                 seed7-line-starts-with
         32,554   0%                              - seed7-beg-of-defun
         12,912   0%                               - seed7-re-search-backward-closest
         12,912   0%                                - seed7-re-search-backward
          6,768   0%                                 - run-with-timer
          6,768   0%                                  - run-at-time
          3,792   0%                                   - timer-activate
          3,792   0%                                    - timer--activate
          3,792   0%                                       timer--time-less-p
          1,824   0%                                     timer-relative-time
          1,152   0%                                   - timer-set-time
          1,152   0%                                      timer--time-setter
          6,144   0%                                   re-search-backward
          7,354   0%                               - seed7-re-search-backward
          3,970   0%                                  re-search-backward
          3,384   0%                                - run-with-timer
          3,384   0%                                 - run-at-time
          1,896   0%                                  - timer-activate
          1,896   0%                                   - timer--activate
          1,896   0%                                      timer--time-less-p
            912   0%                                    timer-relative-time
            576   0%                                  - timer-set-time
            576   0%                                     timer--time-setter
         27,776   0%                                looking-back
          6,144   0%                              - seed7-move-to-line
          6,144   0%                                 seed7-to-previous-non-empty-line
        106,608   0%                             - seed7-line-at-endof-array-definition-block
         49,200   0%                              - seed7-line-code-ends-with
         49,200   0%                               - seed7-re-search-backward
         33,840   0%                                - run-with-timer
         33,840   0%                                 - run-at-time
         18,960   0%                                  - timer-activate
         18,960   0%                                   - timer--activate
         18,960   0%                                      timer--time-less-p
          9,120   0%                                    timer-relative-time
          5,760   0%                                  - timer-set-time
          5,760   0%                                     timer--time-setter
         15,360   0%                                  re-search-backward
         36,096   0%                              - backward-sexp
         36,096   0%                               - forward-sexp
         36,096   0%                                - seed7--forward-sexp-function
         18,048   0%                                 - seed7--at-array-definition-end-line-p
         18,048   0%                                  - seed7-line-code-ends-with
         18,048   0%                                   - seed7-re-search-backward
         18,048   0%                                    - run-with-timer
         18,048   0%                                     - run-at-time
         10,112   0%                                      - timer-activate
         10,112   0%                                       - timer--activate
         10,112   0%                                          timer--time-less-p
          4,864   0%                                        timer-relative-time
          3,072   0%                                      - timer-set-time
          3,072   0%                                         timer--time-setter
         18,048   0%                                 - seed7--at-set-definition-end-line-p
         18,048   0%                                  - seed7-line-code-ends-with
         18,048   0%                                   - seed7-re-search-backward
         18,048   0%                                    - run-with-timer
         18,048   0%                                     - run-at-time
         10,112   0%                                      - timer-activate
         10,112   0%                                       - timer--activate
         10,112   0%                                          timer--time-less-p
          4,864   0%                                        timer-relative-time
          3,072   0%                                      - timer-set-time
          3,072   0%                                         timer--time-setter
          9,024   0%                              - seed7-re-search-backward
          9,024   0%                               - run-with-timer
          9,024   0%                                - run-at-time
          5,056   0%                                 - timer-activate
          5,056   0%                                  - timer--activate
          5,056   0%                                     timer--time-less-p
          2,432   0%                                   timer-relative-time
          1,536   0%                                 - timer-set-time
          1,536   0%                                    timer--time-setter
          8,192   0%                                looking-at
          4,096   0%                              - seed7-move-to-line
          4,096   0%                                 seed7-to-previous-non-empty-line
         67,456   0%                             - seed7-line-inside-set-definition-block
         36,736   0%                              - seed7-re-search-backward
         18,688   0%                                 re-search-backward
         18,048   0%                               - run-with-timer
         18,048   0%                                - run-at-time
         10,112   0%                                 - timer-activate
         10,112   0%                                  - timer--activate
         10,112   0%                                     timer--time-less-p
          4,864   0%                                   timer-relative-time
          3,072   0%                                 - timer-set-time
          3,072   0%                                    timer--time-setter
         30,720   0%                              - forward-sexp
         30,720   0%                                 seed7--forward-sexp-function
         54,144   0%                             - seed7-line-at-endof-parenthesized-statement
         27,072   0%                              - backward-sexp
         27,072   0%                               - forward-sexp
         27,072   0%                                - seed7--forward-sexp-function
         13,536   0%                                 - seed7--at-array-definition-end-line-p
         13,536   0%                                  - seed7-line-code-ends-with
         13,536   0%                                   - seed7-re-search-backward
         13,536   0%                                    - run-with-timer
         13,536   0%                                     - run-at-time
          7,584   0%                                      - timer-activate
          7,584   0%                                       - timer--activate
          7,584   0%                                          timer--time-less-p
          3,648   0%                                        timer-relative-time
          2,304   0%                                      - timer-set-time
          2,304   0%                                         timer--time-setter
         13,536   0%                                 - seed7--at-set-definition-end-line-p
         13,536   0%                                  - seed7-line-code-ends-with
         13,536   0%                                   - seed7-re-search-backward
         13,536   0%                                    - run-with-timer
         13,536   0%                                     - run-at-time
          7,584   0%                                      - timer-activate
          7,584   0%                                       - timer--activate
          7,584   0%                                          timer--time-less-p
          3,648   0%                                        timer-relative-time
          2,304   0%                                      - timer-set-time
          2,304   0%                                         timer--time-setter
         20,304   0%                              - seed7-line-code-ends-with
         20,304   0%                               - seed7-re-search-backward
