      3,105,261 100% - ...
      3,105,261 100%  - #<primitive-function call-interactively>
      3,105,261 100%   - funcall-interactively
      3,105,261 100%    - smex
      3,105,261 100%     - smex-read-and-run
      3,105,261 100%      - execute-extended-command
      3,105,261 100%       - command-execute
      3,105,261 100%        - call-interactively
      3,105,261 100%         - apply
      3,105,261 100%          - call-interactively@ido-cr+-record-current-command
      3,105,261 100%           - #<primitive-function call-interactively>
      3,105,261 100%            - funcall-interactively
      3,105,261 100%             - pel-profile-all
      3,105,261 100%              - pel-profile-dir
      3,105,261 100%               - pel-profile-indent
      3,105,261 100%                - pel-profile-indentation-test-of
          3,280   0%                               - seed7-re-search-backward
          2,256   0%                                - run-with-timer
          2,256   0%                                 - run-at-time
          1,264   0%                                  - timer-activate
          1,264   0%                                   - timer--activate
          1,264   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,256   0%                             - seed7-line-at-endof-set-definition-block
          2,256   0%                              - seed7-line-code-ends-with
          2,256   0%                               - seed7-re-search-backward
          2,256   0%                                - run-with-timer
          2,256   0%                                 - run-at-time
          1,264   0%                                  - timer-activate
          1,264   0%                                   - timer--activate
          1,264   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          2,152   0%                             - seed7-line-inside-array-definition-block
          2,152   0%                              - seed7-re-search-backward
          1,128   0%                               - run-with-timer
          1,128   0%                                - run-at-time
            632   0%                                 - timer-activate
            632   0%                                  - timer--activate
            632   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
          2,152   0%                             - seed7-line-inside-set-definition-block
          2,152   0%                              - seed7-re-search-backward
          1,128   0%                               - run-with-timer
          1,128   0%                                - run-at-time
            632   0%                                 - timer-activate
            632   0%                                  - timer--activate
            632   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
          2,152   0%                             - seed7-line-inside-assign-statement-continuation
          2,152   0%                              - seed7-assign-op-pos
          2,152   0%                               - seed7-re-search-backward
          1,128   0%                                - run-with-timer
          1,128   0%                                 - run-at-time
            632   0%                                  - timer-activate
            632   0%                                   - timer--activate
            632   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,152   0%                             - seed7-line-inside-parens-pair-column
          2,152   0%                              - seed7-line-inside-parens-pair
          2,152   0%                               - seed7-re-search-backward
          1,128   0%                                - run-with-timer
          1,128   0%                                 - run-at-time
            632   0%                                  - timer-activate
            632   0%                                   - timer--activate
            632   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,048   0%                               seed7-line-after-short-func-end
          1,024   0%                             - seed7-line-isa-string
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-starts-with
          1,024   0%                               seed7-line-after-func-return-logic-operator-column
          1,024   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-indent-step
         20,480   0%                              replace-regexp-in-string
        263,348   8%                          - seed7-comment-column
        241,828   7%                           - seed7-calc-indent
         35,228   1%                            - seed7-line-inside-a-block-cached
         35,228   1%                             - seed7-line-inside-a-block
         35,228   1%                              - seed7-re-search-backward
         29,328   0%                               - run-with-timer
         29,328   0%                                - run-at-time
         16,432   0%                                 - timer-activate
         16,432   0%                                  - timer--activate
         16,432   0%                                     timer--time-less-p
          7,904   0%                                   timer-relative-time
          4,992   0%                                 - timer-set-time
          4,992   0%                                    timer--time-setter
          5,900   0%                                 re-search-backward
         33,424   1%                            - seed7-line-inside-parens-pair-column
         33,424   1%                             - seed7-line-inside-parens-pair
         33,424   1%                              - seed7-re-search-backward
         29,328   0%                               - run-with-timer
         29,328   0%                                - run-at-time
         16,432   0%                                 - timer-activate
         16,432   0%                                  - timer--activate
         16,432   0%                                     timer--time-less-p
          7,904   0%                                   timer-relative-time
          4,992   0%                                 - timer-set-time
          4,992   0%                                    timer--time-setter
          4,096   0%                                 re-search-backward
         32,592   1%                            - seed7-line-inside-set-definition-block
         32,592   1%                             - seed7-re-search-backward
         29,328   0%                              - run-with-timer
         29,328   0%                               - run-at-time
         16,432   0%                                - timer-activate
         16,432   0%                                 - timer--activate
         16,432   0%                                    timer--time-less-p
          7,904   0%                                  timer-relative-time
          4,992   0%                                - timer-set-time
          4,992   0%                                   timer--time-setter
          3,264   0%                                re-search-backward
         32,400   1%                            - seed7-line-inside-array-definition-block
         32,400   1%                             - seed7-re-search-backward
         29,328   0%                              - run-with-timer
         29,328   0%                               - run-at-time
         16,432   0%                                - timer-activate
         16,432   0%                                 - timer--activate
         16,432   0%                                    timer--time-less-p
          7,904   0%                                  timer-relative-time
          4,992   0%                                - timer-set-time
          4,992   0%                                   timer--time-setter
          3,072   0%                                re-search-backward
         32,400   1%                            - seed7-line-inside-assign-statement-continuation
         32,400   1%                             - seed7-assign-op-pos
         32,400   1%                              - seed7-re-search-backward
         29,328   0%                               - run-with-timer
         29,328   0%                                - run-at-time
         16,432   0%                                 - timer-activate
         16,432   0%                                  - timer--activate
         16,432   0%                                     timer--time-less-p
          7,904   0%                                   timer-relative-time
          4,992   0%                                 - timer-set-time
          4,992   0%                                    timer--time-setter
          3,072   0%                                 re-search-backward
         25,584   0%                            - seed7-line-is-defun-end
         17,400   0%                               looking-back
          8,184   0%                             - seed7--current-line-nth-word
          8,184   0%                              - thing-at-point
          8,184   0%                               - bounds-of-thing-at-point
          8,184   0%                                - #<byte-code-function 78D>
          8,184   0%                                 - forward-thing
          8,184   0%                                    format
         11,280   0%                            - seed7-line-at-endof-array-definition-block
         11,280   0%                             - seed7-line-code-ends-with
         11,280   0%                              - seed7-re-search-backward
         11,280   0%                               - run-with-timer
         11,280   0%                                - run-at-time
          6,320   0%                                 - timer-activate
          6,320   0%                                  - timer--activate
          6,320   0%                                     timer--time-less-p
          3,040   0%                                   timer-relative-time
          1,920   0%                                 - timer-set-time
          1,920   0%                                    timer--time-setter
         11,280   0%                            - seed7-line-at-endof-set-definition-block
         11,280   0%                             - seed7-line-code-ends-with
         11,280   0%                              - seed7-re-search-backward
         11,280   0%                               - run-with-timer
         11,280   0%                                - run-at-time
          6,320   0%                                 - timer-activate
          6,320   0%                                  - timer--activate
          6,320   0%                                     timer--time-less-p
          3,040   0%                                   timer-relative-time
          1,920   0%                                 - timer-set-time
          1,920   0%                                    timer--time-setter
          8,184   0%                            - error
          8,184   0%                               format-message
          4,096   0%                            - seed7-line-starts-with-open-paren-after-logic-operator
          4,096   0%                               seed7-line-starts-with
          3,072   0%                            - seed7-line-isa-string
          3,072   0%                               seed7-line-starts-with
          3,072   0%                              seed7-line-starts-with
          3,072   0%                              seed7--indent-search-boundary
          3,072   0%                              seed7-line-after-func-return-logic-operator-column
          3,072   0%                              seed7-line-indent-step
         13,328   0%                           - seed7-line-code-ends-with
         12,304   0%                            - seed7-re-search-backward
         11,280   0%                             - run-with-timer
         11,280   0%                              - run-at-time
          6,320   0%                               - timer-activate
          6,320   0%                                - timer--activate
          6,320   0%                                   timer--time-less-p
          3,040   0%                                 timer-relative-time
          1,920   0%                               - timer-set-time
          1,920   0%                                  timer--time-setter
          1,024   0%                               re-search-backward
          1,024   0%                            - seed7-move-to-line
          1,024   0%                               seed7-to-previous-non-empty-line
          7,168   0%                             seed7-line-starts-with
          1,024   0%                             looking-at
        148,231   4%                          - seed7--current-line-nth-word
        148,231   4%                           - thing-at-point
        148,231   4%                            - bounds-of-thing-at-point
        144,135   4%                             - #<byte-code-function 40F>
        144,135   4%                              - forward-thing
        144,135   4%                               - forward-word
        144,135   4%                                - internal--syntax-propertize
        144,135   4%                                 - syntax-propertize
        144,135   4%                                    seed7-mode-syntax-propertize
          4,096   0%                               re-search-forward
        100,952   3%                          - seed7-line-inside-parens-pair-column
        100,952   3%                           - seed7-line-inside-parens-pair
         84,568   2%                            - seed7-re-search-backward
         62,040   1%                             - run-with-timer
         62,040   1%                              - run-at-time
         34,760   1%                               - timer-activate
         34,760   1%                                - timer--activate
         34,760   1%                                   timer--time-less-p
         16,720   0%                                 timer-relative-time
         10,560   0%                               - timer-set-time
         10,560   0%                                  timer--time-setter
         22,528   0%                               re-search-backward
         16,384   0%                            - forward-sexp
         16,384   0%                               seed7--forward-sexp-function
         63,848   2%                          - seed7-line-inside-argument-list-section
         41,320   1%                           - seed7-re-search-backward
         21,432   0%                            - run-with-timer
         21,432   0%                             - run-at-time
         12,008   0%                              - timer-activate
         12,008   0%                               - timer--activate
         12,008   0%                                  timer--time-less-p
          5,776   0%                                timer-relative-time
          3,648   0%                              - timer-set-time
          3,648   0%                                 timer--time-setter
         19,888   0%                              re-search-backward
         18,432   0%                           - seed7-line-is-procfunc-beg-of-decl
         18,432   0%                              seed7-line-starts-with
          4,096   0%                           - forward-sexp
          4,096   0%                              seed7--forward-sexp-function
         58,912   1%                          - seed7-line-inside-set-definition-block
         58,912   1%                           - seed7-re-search-backward
         30,712   0%                              re-search-backward
         28,200   0%                            - run-with-timer
         28,200   0%                             - run-at-time
         15,800   0%                              - timer-activate
         15,800   0%                               - timer--activate
         15,800   0%                                  timer--time-less-p
          7,600   0%                                timer-relative-time
          4,800   0%                              - timer-set-time
          4,800   0%                                 timer--time-setter
         50,728   1%                          - seed7-line-inside-array-definition-block
         50,728   1%                           - seed7-re-search-backward
         28,200   0%                            - run-with-timer
         28,200   0%                             - run-at-time
         15,800   0%                              - timer-activate
         15,800   0%                               - timer--activate
         15,800   0%                                  timer--time-less-p
          7,600   0%                                timer-relative-time
          4,800   0%                              - timer-set-time
          4,800   0%                                 timer--time-setter
         22,528   0%                              re-search-backward
         50,728   1%                          - seed7-line-inside-assign-statement-continuation
         50,728   1%                           - seed7-assign-op-pos
         50,728   1%                            - seed7-re-search-backward
         28,200   0%                             - run-with-timer
         28,200   0%                              - run-at-time
         15,800   0%                               - timer-activate
         15,800   0%                                - timer--activate
         15,800   0%                                   timer--time-less-p
          7,600   0%                                 timer-relative-time
          4,800   0%                               - timer-set-time
          4,800   0%                                  timer--time-setter
         22,528   0%                               re-search-backward
         43,040   1%                          - seed7-line-inside-logic-check-expression
         43,040   1%                           - seed7-to-previous-line-starts-with
         43,040   1%                            - seed7-re-search-backward
         22,560   0%                             - run-with-timer
         22,560   0%                              - run-at-time
         12,640   0%                               - timer-activate
         12,640   0%                                - timer--activate
         12,640   0%                                   timer--time-less-p
          6,080   0%                                 timer-relative-time
          3,840   0%                               - timer-set-time
          3,840   0%                                  timer--time-setter
         20,480   0%                               re-search-backward
         43,040   1%                          - seed7-line-inside-until-logic-expression
         43,040   1%                           - seed7-re-search-backward
         22,560   0%                            - run-with-timer
         22,560   0%                             - run-at-time
         12,640   0%                              - timer-activate
         12,640   0%                               - timer--activate
         12,640   0%                                  timer--time-less-p
          6,080   0%                                timer-relative-time
          3,840   0%                              - timer-set-time
          3,840   0%                                 timer--time-setter
         20,480   0%                              re-search-backward
         43,040   1%                          - seed7-line-inside-func-return-statement
         43,040   1%                           - seed7-re-search-backward
         22,560   0%                            - run-with-timer
         22,560   0%                             - run-at-time
         12,640   0%                              - timer-activate
         12,640   0%                               - timer--activate
         12,640   0%                                  timer--time-less-p
          6,080   0%                                timer-relative-time
          3,840   0%                              - timer-set-time
          3,840   0%                                 timer--time-setter
         20,480   0%                              re-search-backward
         24,576   0%                            seed7-line-starts-with
         24,576   0%                          - seed7-line-after-func-return-logic-operator-column
          1,024   0%                           - seed7-move-to-line
          1,024   0%                              seed7-to-previous-non-empty-line
         22,528   0%                          - seed7-line-isa-string
         22,528   0%                             seed7-line-starts-with
         20,480   0%                            seed7--indent-search-boundary
          9,840   0%                          - seed7-line-at-endof-array-definition-block
          9,840   0%                           - seed7-line-code-ends-with
          9,840   0%                            - seed7-re-search-backward
          6,768   0%                             - run-with-timer
          6,768   0%                              - run-at-time
          3,792   0%                               - timer-activate
          3,792   0%                                - timer--activate
          3,792   0%                                   timer--time-less-p
          1,824   0%                                 timer-relative-time
          1,152   0%                               - timer-set-time
          1,152   0%                                  timer--time-setter
          3,072   0%                               re-search-backward
          8,672   0%                            seed7-line-after-short-func-end
          6,768   0%                          - seed7-line-at-endof-set-definition-block
          6,768   0%                           - seed7-line-code-ends-with
          6,768   0%                            - seed7-re-search-backward
          6,768   0%                             - run-with-timer
          6,768   0%                              - run-at-time
          3,792   0%                               - timer-activate
          3,792   0%                                - timer--activate
          3,792   0%                                   timer--time-less-p
          1,824   0%                                 timer-relative-time
          1,152   0%                               - timer-set-time
          1,152   0%                                  timer--time-setter
          3,072   0%                          - seed7-line-starts-with-open-paren-after-logic-operator
          3,072   0%                             seed7-line-starts-with
          3,072   0%                            seed7-line-indent-step
