  1,631,454,889  99% - ...
     16,552,512   1%                                  timer--time-setter
      9,514,767   0%                               re-search-backward
         35,149   0%                             - seed7-inside-string-p
         35,149   0%                              - syntax-ppss
         32,792   0%                                 parse-partial-sexp
            631   0%                                 #<byte-code-function 72B>
         32,959   0%                             - seed7-inside-comment-p
         32,959   0%                              - syntax-ppss
         32,792   0%                                 parse-partial-sexp
             45   0%                               make-closure
     31,312,683   1%                            - seed7-calc-indent
     16,563,996   1%                             - seed7-line-inside-parens-pair-column
     16,563,996   1%                              - seed7-line-inside-parens-pair
     16,552,429   1%                               - seed7-re-search-backward
     16,532,910   1%                                - run-with-timer
     16,532,910   1%                                 - run-at-time
      8,062,222   0%                                  - timer-activate
      8,062,222   0%                                   - timer--activate
      8,062,222   0%                                    - timer--time-less-p
          1,406   0%                                       timer--time
      5,191,712   0%                                    timer-relative-time
      3,278,976   0%                                  - timer-set-time
      3,278,976   0%                                     timer--time-setter
         16,640   0%                                  re-search-backward
          1,624   0%                                - seed7-inside-string-p
          1,624   0%                                 - syntax-ppss
          1,624   0%                                    #<byte-code-function D3F>
          1,255   0%                                - seed7-inside-comment-p
          1,255   0%                                 - syntax-ppss
            295   0%                                    #<byte-code-function 589>
         11,567   0%                               - forward-sexp
         10,368   0%                                  seed7--forward-sexp-function
      8,025,743   0%                             - seed7-line-inside-a-block-cached
      8,025,743   0%                              - seed7-line-inside-a-block
      7,887,015   0%                               - seed7--safe-enclosing-block-bounds
      7,887,015   0%                                - seed7--block-end-pos-for
      7,807,075   0%                                 - seed7-to-block-forward
      7,767,974   0%                                  - seed7-end-of-defun
      7,679,790   0%                                   - seed7-top-block-name
      7,652,839   0%                                    - seed7--to-top
      7,614,119   0%                                     - seed7-re-search-backward
      7,609,656   0%                                      - run-with-timer
      7,609,656   0%                                       - run-at-time
      3,711,144   0%                                        - timer-activate
      3,711,144   0%                                         - timer--activate
      3,711,144   0%                                          - timer--time-less-p
          1,224   0%                                             timer--time
      2,389,392   0%                                          timer-relative-time
      1,509,120   0%                                        - timer-set-time
      1,509,120   0%                                           timer--time-setter
          4,288   0%                                        re-search-backward
            175   0%                                      - seed7-inside-string-p
            175   0%                                         syntax-ppss
         38,720   0%                                     - run-with-timer
         38,720   0%                                      - run-at-time
         18,880   0%                                       - timer-activate
         18,880   0%                                        - timer--activate
         18,880   0%                                           timer--time-less-p
         12,160   0%                                         timer-relative-time
          7,680   0%                                       - timer-set-time
          7,680   0%                                          timer--time-setter
         26,951   0%                                    - seed7--block-name
         18,767   0%                                       seed7-re-search-forward
          8,184   0%                                       match-string
         38,720   0%                                   - seed7-re-search-backward
         38,720   0%                                    - run-with-timer
         38,720   0%                                     - run-at-time
         18,880   0%                                      - timer-activate
         18,880   0%                                       - timer--activate
         18,880   0%                                          timer--time-less-p
         12,160   0%                                        timer-relative-time
          7,680   0%                                      - timer-set-time
          7,680   0%                                         timer--time-setter
         27,040   0%                                     seed7-re-search-forward
         30,909   0%                                    seed7-re-search-forward
          8,192   0%                                    seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         57,412   0%                                 - seed7--line-ends-a-statement-p
         36,676   0%                                    looking-at
         20,736   0%                                  - forward-sexp
         20,736   0%                                     seed7--forward-sexp-function
          3,072   0%                                 - seed7-re-search-forward-closest
          3,072   0%                                    seed7-re-search-forward
          2,048   0%                                 - seed7-to-next-line-starts-with
          2,048   0%                                    seed7-re-search-forward
        110,840   0%                               - seed7-re-search-backward
         81,312   0%                                - run-with-timer
         81,312   0%                                 - run-at-time
         39,648   0%                                  - timer-activate
         39,648   0%                                   - timer--activate
         39,648   0%                                      timer--time-less-p
         25,536   0%                                    timer-relative-time
         16,128   0%                                  - timer-set-time
         16,128   0%                                     timer--time-setter
         29,528   0%                                  re-search-backward
         26,872   0%                               - replace-regexp-in-string
          8,184   0%                                  concat
          1,016   0%                                 match-string
      6,152,838   0%                             - seed7-line-is-defun-end
      5,430,078   0%                              - seed7-end-of-defun
      5,339,472   0%                               - seed7-top-block-name
      5,339,472   0%                                - seed7--to-top
      5,319,144   0%                                 - seed7-re-search-backward
      5,319,144   0%                                  - run-with-timer
      5,319,144   0%                                   - run-at-time
      2,593,640   0%                                    - timer-activate
      2,593,640   0%                                     - timer--activate
