  1,861,905,402  99% - ...
  1,861,905,402  99%  - #<primitive-function call-interactively>
  1,861,905,402  99%   - funcall-interactively
  1,861,905,402  99%    - smex
  1,861,905,402  99%     - smex-read-and-run
  1,861,905,402  99%      - execute-extended-command
  1,861,905,402  99%       - command-execute
  1,861,905,402  99%        - call-interactively
  1,861,905,402  99%         - apply
  1,861,905,402  99%          - call-interactively@ido-cr+-record-current-command
  1,861,905,402  99%           - #<primitive-function call-interactively>
  1,861,905,402  99%            - funcall-interactively
  1,861,905,402  99%             - pel-profile-all
  1,861,905,402  99%              - pel-profile-dir
  1,861,905,402  99%               - pel-profile-indent
  1,861,905,402  99%                - pel-profile-indentation-test-of
  1,860,324,606  99%                 - call-interactively
  1,860,324,606  99%                  - apply
  1,860,324,606  99%                   - call-interactively@ido-cr+-record-current-command
  1,860,324,606  99%                    - #<primitive-function call-interactively>
  1,860,324,606  99%                     - funcall-interactively
  1,860,324,590  99%                      - seed7-complete-statement-or-indent
  1,860,324,590  99%                       - seed7-indent-region
  1,860,324,590  99%                        - seed7--indent-one-line
  1,860,324,590  99%                         - seed7-calc-indent
  1,599,351,399  85%                          - seed7-line-inside-parens-pair-column
  1,599,351,399  85%                           - seed7-line-inside-parens-pair
  1,586,579,951  85%                            - seed7-re-search-backward
  1,579,916,943  84%                             - run-with-timer
  1,579,916,943  84%                              - run-at-time
    770,645,420  41%                               - timer-activate
    770,645,420  41%                                - timer--activate
    770,612,628  41%                                 - timer--time-less-p
        592,555   0%                                    timer--time
    496,010,283  26%                                 timer-relative-time
    313,261,080  16%                               - timer-set-time
    313,260,824  16%                                  timer--time-setter
            160   0%                                 timer-set-function
      6,228,032   0%                               re-search-backward
        231,629   0%                             - seed7-inside-string-p
        198,837   0%                              - syntax-ppss
        196,752   0%                                 parse-partial-sexp
            794   0%                                 #<byte-code-function E4E>
            265   0%                                 syntax-table
        198,751   0%                             - seed7-inside-comment-p
        198,751   0%                              - syntax-ppss
        196,752   0%                                 parse-partial-sexp
            853   0%                                 #<byte-code-function 578>
            221   0%                                 syntax-table
          4,596   0%                               make-closure
     12,636,184   0%                            - forward-sexp
     12,633,848   0%                               seed7--forward-sexp-function
         36,888   0%                            - seed7-line-inside-syntax-parens-pair
         32,792   0%                               seed7-move-to-line
          4,096   0%                             - forward-sexp
          4,096   0%                                seed7--forward-sexp-function
     76,661,561   4%                          - seed7-line-inside-a-block-cached
     76,661,561   4%                           - seed7-line-inside-a-block
     50,045,785   2%                            - seed7--safe-enclosing-block-bounds
     50,045,785   2%                             - seed7--block-end-pos-for
     49,619,737   2%                              - seed7-to-block-forward
     24,483,947   1%                               - seed7-re-search-forward
     17,098,819   0%                                - seed7-inside-comment-p
     17,098,819   0%                                 - syntax-ppss
     17,098,819   0%                                  - syntax-propertize
     17,098,819   0%                                     seed7-mode-syntax-propertize
     13,115,198   0%                               - seed7-end-of-defun
     12,241,833   0%                                - seed7-top-block-name
     12,007,007   0%                                 - seed7--to-top
     11,703,175   0%                                  - seed7-re-search-backward
      8,264,544   0%                                   - run-with-timer
      8,264,544   0%                                    - run-at-time
      3,997,840   0%                                     - timer-activate
      3,997,840   0%                                      - timer--activate
