  2,715,897,915  99% - ...
  2,715,897,915  99%  - #<primitive-function call-interactively>
  2,715,897,915  99%   - funcall-interactively
  2,715,897,915  99%    - smex
  2,715,897,915  99%     - smex-read-and-run
  2,715,897,915  99%      - execute-extended-command
  2,715,897,915  99%       - command-execute
  2,715,897,915  99%        - call-interactively
  2,715,897,915  99%         - apply
  2,715,897,915  99%          - call-interactively@ido-cr+-record-current-command
  2,715,897,915  99%           - #<primitive-function call-interactively>
  2,715,897,915  99%            - funcall-interactively
  2,715,897,915  99%             - pel-profile-all
  2,715,897,915  99%              - pel-profile-dir
  2,715,897,915  99%               - pel-profile-indent
  2,715,897,915  99%                - pel-profile-indentation-test-of
  2,714,294,591  99%                 - call-interactively
  2,714,294,591  99%                  - apply
  2,714,294,591  99%                   - call-interactively@ido-cr+-record-current-command
  2,714,294,591  99%                    - #<primitive-function call-interactively>
  2,714,294,591  99%                     - funcall-interactively
  2,714,294,575  99%                      - seed7-complete-statement-or-indent
  2,714,294,575  99%                       - seed7-indent-region
  2,714,294,575  99%                        - seed7--indent-one-line
  2,712,102,759  99%                         - seed7-calc-indent
  1,498,271,068  55%                          - seed7-line-inside-parens-pair-column
  1,498,271,068  55%                           - seed7-line-inside-parens-pair
  1,483,373,348  54%                            - seed7-re-search-backward
  1,157,767,974  42%                             - run-with-timer
  1,157,767,974  42%                              - run-at-time
    449,001,801  16%                               - timer-activate
    449,001,801  16%                                - timer--activate
    448,903,425  16%                                 - timer--time-less-p
        197,064   0%                                    timer--time
    386,391,181  14%                                 timer-relative-time
    256,874,864   9%                               - timer-set-time
    256,874,112   9%                                  timer--time-setter
     65,500,064   2%                                 timer-create
             64   0%                                 timer-set-function
    162,699,109   5%                             - seed7-inside-string-p
     68,783,637   2%                              - syntax-ppss
     68,599,776   2%                                 make-closure
        163,960   0%                                 parse-partial-sexp
         10,547   0%                                 #<byte-code-function 39B>
            200   0%                                 syntax-table
     87,238,505   3%                             - seed7-inside-comment-p
     65,685,561   2%                              - syntax-ppss
     65,151,968   2%                                 make-closure
        500,168   0%                                 parse-partial-sexp
            336   0%                                 syntax-table
             56   0%                                 #<byte-code-function 464>
     58,447,416   2%                               make-closure
     17,220,344   0%                               re-search-backward
     13,065,888   0%                            - forward-sexp
     13,064,440   0%                               seed7--forward-sexp-function
      1,014,920   0%                            - seed7-line-inside-syntax-parens-pair
        625,384   0%                             - syntax-ppss
        592,592   0%                                make-closure
         32,792   0%                                parse-partial-sexp
    277,379,620  10%                          - seed7--indent-search-boundary
    253,304,402   9%                           - seed7--indent-search-boundary-uncached
    244,094,409   8%                            - syntax-ppss
    226,059,344   8%                               make-closure
     16,401,224   0%                               parse-partial-sexp
        171,519   0%                               #<byte-code-function B84>
         52,266   0%                               syntax-table
        105,889   0%                              seed7-to-indent
    243,715,958   8%                          - seed7-line-is-defun-end
     87,852,621   3%                           - seed7-end-of-defun
     71,273,354   2%                            - seed7-top-block-name
     70,797,170   2%                             - seed7--to-top
     70,056,450   2%                              - seed7-re-search-backward
     54,833,605   2%                               - run-with-timer
     54,833,605   2%                                - run-at-time
     26,672,496   0%                                 - timer-activate
     26,672,496   0%                                  - timer--activate
     26,672,496   0%                                   - timer--time-less-p
         65,584   0%                                      timer--time
     14,951,749   0%                                   timer-relative-time
     10,258,832   0%                                 - timer-set-time
     10,258,832   0%                                    timer--time-setter
      2,950,528   0%                                   timer-create
      9,796,416   0%                               - seed7-inside-string-p
      1,802,640   0%                                - syntax-ppss
      1,781,920   0%                                   make-closure
         20,720   0%                                 - parse-partial-sexp
         20,720   0%                                  - internal--syntax-propertize
         20,720   0%                                   - syntax-propertize
         16,576   0%                                      seed7-mode-syntax-propertize
      3,507,757   0%                               - seed7-inside-comment-p
      1,754,845   0%                                - syntax-ppss
      1,686,608   0%                                   make-closure
         68,237   0%                                 - syntax-propertize
         55,805   0%                                    seed7-mode-syntax-propertize
      1,918,672   0%                                 make-closure
        715,856   0%                              - run-with-timer
        715,856   0%                               - run-at-time
        260,336   0%                                - timer-activate
        260,336   0%                                 - timer--activate
        260,336   0%                                    timer--time-less-p
        233,472   0%                                  timer-relative-time
        155,744   0%                                - timer-set-time
        155,744   0%                                   timer--time-setter
         66,304   0%                                  timer-create
         24,864   0%                                make-closure
        459,608   0%                             - seed7--block-name
        327,376   0%                              - seed7-re-search-forward
        281,792   0%                               - seed7-inside-string-p
         37,296   0%                                - syntax-ppss
         37,296   0%                                   make-closure
         45,584   0%                               - seed7-inside-comment-p
         41,440   0%                                - syntax-ppss
         41,440   0%                                   make-closure
         29,464   0%                                match-string
     12,933,174   0%                            - seed7-re-search-forward
      6,273,656   0%                             - seed7-inside-string-p
