  5,550,437,693  99% - ...
  5,550,437,693  99%  - #<primitive-function call-interactively>
  5,550,437,693  99%   - funcall-interactively
  5,550,437,693  99%    - smex
  5,550,437,693  99%     - smex-read-and-run
  5,550,437,693  99%      - execute-extended-command
  5,550,437,693  99%       - command-execute
  5,550,437,693  99%        - call-interactively
  5,550,437,693  99%         - apply
  5,550,437,693  99%          - call-interactively@ido-cr+-record-current-command
  5,550,437,693  99%           - #<primitive-function call-interactively>
  5,550,437,693  99%            - funcall-interactively
  5,550,437,693  99%             - pel-profile-all
  5,550,437,693  99%              - pel-profile-dir
  5,550,437,693  99%               - pel-profile-indent
  5,550,437,693  99%                - pel-profile-indentation-test-of
  5,548,834,369  99%                 - call-interactively
  5,548,834,369  99%                  - apply
  5,548,834,369  99%                   - call-interactively@ido-cr+-record-current-command
  5,548,834,369  99%                    - #<primitive-function call-interactively>
  5,548,834,369  99%                     - funcall-interactively
  5,548,834,353  99%                      - seed7-complete-statement-or-indent
  5,548,834,353  99%                       - seed7-indent-region
  5,548,834,353  99%                        - seed7--indent-one-line
  5,547,682,321  99%                         - seed7-calc-indent
  4,419,440,441  79%                          - seed7-line-inside-parens-pair-column
  4,419,440,441  79%                           - seed7-line-inside-parens-pair
  4,413,610,504  79%                            - seed7-re-search-backward
  3,413,212,605  61%                             - run-with-timer
  3,413,212,605  61%                              - run-at-time
  1,309,758,888  23%                               - timer-activate
  1,309,758,888  23%                                - timer--activate
  1,309,758,888  23%                                 - timer--time-less-p
        137,274   0%                                    timer--time
  1,140,223,957  20%                                 timer-relative-time
    740,278,053  13%                               - timer-set-time
    740,274,400  13%                                  timer--time-setter
    222,943,056   4%                                 timer-create
          8,651   0%                                 timer-set-function
    504,414,371   9%                             - seed7-inside-string-p
    243,019,499   4%                              - syntax-ppss
    242,966,864   4%                                 make-closure
         32,792   0%                                 parse-partial-sexp
          3,671   0%                                 syntax-table
            934   0%                                 #<byte-code-function 58B>
    261,816,499   4%                             - seed7-inside-comment-p
    228,701,795   4%                              - syntax-ppss
    228,690,784   4%                                 make-closure
          1,779   0%                                 #<byte-code-function 1E4>
          1,689   0%                                 syntax-table
    222,467,603   4%                               make-closure
     11,699,426   0%                               re-search-backward
      4,827,809   0%                            - forward-sexp
      4,815,344   0%                               seed7--forward-sexp-function
        704,120   0%                            - seed7-line-inside-syntax-parens-pair
        397,824   0%                             - syntax-ppss
        397,824   0%                                make-closure
         32,792   0%                               seed7-move-to-line
    345,424,461   6%                          - seed7-line-inside-a-block-cached
    344,914,749   6%                           - seed7-line-inside-a-block
    157,644,899   2%                            - seed7-calc-indent
     98,586,671   1%                             - seed7-line-inside-a-block-cached
     98,586,671   1%                              - seed7-line-inside-a-block
     97,144,095   1%                               - seed7--safe-enclosing-block-bounds
     97,115,087   1%                                - seed7--block-end-pos-for
     96,942,879   1%                                 - seed7-to-block-forward
     95,487,579   1%                                  - seed7-end-of-defun
     93,765,014   1%                                   - seed7-top-block-name
     93,512,503   1%                                    - seed7--to-top
     93,014,023   1%                                     - seed7-re-search-backward
     72,888,641   1%                                      - run-with-timer
     72,888,641   1%                                       - run-at-time
     35,993,701   0%                                        - timer-activate
     35,993,701   0%                                         - timer--activate
     35,993,701   0%                                          - timer--time-less-p
            449   0%                                             timer--time
     19,717,296   0%                                          timer-relative-time
     13,584,432   0%                                        - timer-set-time
     13,584,432   0%                                           timer--time-setter
      3,592,848   0%                                          timer-create
            364   0%                                          timer-set-function
     13,120,027   0%                                      - seed7-inside-string-p
      2,121,851   0%                                       - syntax-ppss
      2,121,728   0%                                          make-closure
            114   0%                                          #<byte-code-function E91>
      4,492,096   0%                                      - seed7-inside-comment-p
      2,237,760   0%                                       - syntax-ppss
      2,237,760   0%                                          make-closure
      2,507,318   0%                                        make-closure
          5,477   0%                                        re-search-backward
        473,616   0%                                     - run-with-timer
        473,616   0%                                      - run-at-time
        176,768   0%                                       - timer-activate
        176,768   0%                                        - timer--activate
        176,768   0%                                           timer--time-less-p
        164,160   0%                                         timer-relative-time
        111,968   0%                                       - timer-set-time
        111,968   0%                                          timer--time-setter
         20,720   0%                                         timer-create
         24,864   0%                                       make-closure
        248,367   0%                                    - seed7--block-name
        237,031   0%                                     - seed7-re-search-forward
        182,336   0%                                      - seed7-inside-string-p
         20,720   0%                                       - syntax-ppss
         20,720   0%                                          make-closure
         37,296   0%                                      - seed7-inside-comment-p
         24,864   0%                                       - syntax-ppss
         24,864   0%                                          make-closure
          3,048   0%                                       match-string
        863,152   0%                                   - seed7-re-search-backward
        527,488   0%                                    - run-with-timer
        527,488   0%                                     - run-at-time
        193,344   0%                                      - timer-activate
        193,344   0%                                       - timer--activate
        193,344   0%                                          timer--time-less-p
        164,160   0%                                        timer-relative-time
        132,688   0%                                      - timer-set-time
        132,688   0%                                         timer--time-setter
         37,296   0%                                        timer-create
        261,072   0%                                    - seed7-inside-string-p
         16,576   0%                                     - syntax-ppss
         16,576   0%                                        make-closure
         70,448   0%                                    - seed7-inside-comment-p
         41,440   0%                                     - syntax-ppss
         41,440   0%                                        make-closure
          4,144   0%                                      make-closure
        454,064   0%                                     match-string
        320,181   0%                                   - seed7-re-search-forward
        219,632   0%                                    - seed7-inside-string-p
         41,440   0%                                     - syntax-ppss
         41,440   0%                                        make-closure
         75,329   0%                                    - seed7-inside-comment-p
         38,033   0%                                     - syntax-ppss
         29,008   0%                                        make-closure
          9,025   0%                                      - syntax-propertize
          9,025   0%                                         seed7-mode-syntax-propertize
          8,184   0%                                     match-string-no-properties
        930,664   0%                                  - seed7--current-line-nth-word
        851,928   0%                                   - thing-at-point
        766,192   0%                                    - bounds-of-thing-at-point
        335,664   0%                                       make-closure
        130,944   0%                                     - #<byte-code-function D99>
        130,944   0%                                      - forward-thing
        130,944   0%                                         format
        103,600   0%                                     - seq-some
        103,600   0%                                        make-closure
         65,472   0%                                     - #<byte-code-function 7C3>
         65,472   0%                                      - forward-thing
         65,472   0%                                         format
          2,048   0%                                       re-search-forward
        256,500   0%                                  - seed7-re-search-forward
        145,040   0%                                   - seed7-inside-string-p
         53,872   0%                                    - syntax-ppss
         53,872   0%                                       make-closure
         49,728   0%                                   - seed7-inside-comment-p
         33,152   0%                                    - syntax-ppss
         33,152   0%                                       make-closure
        110,768   0%                                  - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         58,016   0%                                     seed7-inside-line-indent-before-comment-p
         29,008   0%                                   - seed7-inside-comment-p
          4,144   0%                                    - syntax-ppss
          4,144   0%                                       make-closure
         58,016   0%                                    seed7-inside-line-indent-before-comment-p
         58,016   0%                                  - seed7-inside-comment-p
         24,864   0%                                   - syntax-ppss
         24,864   0%                                      make-closure
          8,184   0%                                    seed7--end-regexp-for
         64,368   0%                                 - seed7--line-ends-a-statement-p
         54,080   0%                                    looking-at
          6,144   0%                                  - forward-sexp
          6,144   0%                                     seed7--forward-sexp-function
         35,200   0%                                 - seed7-re-search-forward-closest
         18,624   0%                                  - seed7-re-search-forward
         12,432   0%                                   - seed7-inside-string-p
          4,144   0%                                    - syntax-ppss
          4,144   0%                                       make-closure
          4,144   0%                                     seed7-inside-comment-p
          1,024   0%                                 - seed7-to-next-line-starts-with
          1,024   0%                                    seed7-re-search-forward
      1,164,888   0%                               - seed7-re-search-backward
        846,360   0%                                - run-with-timer
        846,360   0%                                 - run-at-time
