  4,648,517,521  99% - ...
  4,648,517,521  99%  - #<primitive-function call-interactively>
  4,648,517,521  99%   - funcall-interactively
  4,648,517,521  99%    - smex
  4,648,517,521  99%     - smex-read-and-run
  4,648,517,521  99%      - execute-extended-command
  4,648,517,521  99%       - command-execute
  4,648,517,521  99%        - call-interactively
  4,648,517,521  99%         - apply
  4,648,517,521  99%          - call-interactively@ido-cr+-record-current-command
  4,648,517,521  99%           - #<primitive-function call-interactively>
  4,648,517,521  99%            - funcall-interactively
  4,648,517,521  99%             - pel-profile-all
  4,648,517,521  99%              - pel-profile-dir
  4,648,517,521  99%               - pel-profile-indent
  4,648,517,521  99%                - pel-profile-indentation-test-of
  4,646,847,893  99%                 - call-interactively
  4,646,847,893  99%                  - apply
  4,646,847,893  99%                   - call-interactively@ido-cr+-record-current-command
  4,646,847,893  99%                    - #<primitive-function call-interactively>
  4,646,847,893  99%                     - funcall-interactively
  4,646,847,877  99%                      - seed7-complete-statement-or-indent
  4,646,847,877  99%                       - seed7-indent-region
  4,646,847,877  99%                        - seed7--indent-one-line
  4,641,186,149  99%                         - seed7-calc-indent
  2,686,450,673  57%                          - seed7-line-inside-parens-pair-column
  2,686,450,673  57%                           - seed7-line-inside-parens-pair
  2,640,760,065  56%                            - seed7-re-search-backward
  2,117,675,989  45%                             - run-with-timer
  2,117,675,989  45%                              - run-at-time
  1,002,046,102  21%                               - timer-activate
  1,002,046,102  21%                                - timer--activate
  1,002,013,310  21%                                 - timer--time-less-p
        787,008   0%                                    timer--time
    581,253,619  12%                                 timer-relative-time
    381,925,700   8%                               - timer-set-time
    381,924,496   8%                                  timer--time-setter
    152,449,472   3%                                 timer-create
          1,096   0%                                 timer-set-function
    283,038,272   6%                             - seed7-inside-string-p
     80,087,312   1%                              - syntax-ppss
     79,365,888   1%                                 make-closure
        721,424   0%                                 parse-partial-sexp
    132,455,156   2%                             - seed7-inside-comment-p
     81,811,332   1%                              - syntax-ppss
     75,839,344   1%                                 make-closure
      5,356,868   0%                                 #<byte-code-function A7C>
        582,328   0%                                 parse-partial-sexp
     85,682,656   1%                               make-closure
     21,875,200   0%                               re-search-backward
     43,011,240   0%                            - forward-sexp
     43,010,960   0%                               seed7--forward-sexp-function
      1,777,776   0%                            - seed7-line-inside-syntax-parens-pair
        845,376   0%                             - syntax-ppss
        845,376   0%                                make-closure
    483,723,397  10%                          - seed7-line-is-defun-end
    232,603,801   4%                           - seed7-end-of-defun
    192,106,546   4%                            - seed7-top-block-name
    191,323,786   4%                             - seed7--to-top
    189,816,666   4%                              - seed7-re-search-backward
    147,143,096   3%                               - run-with-timer
    147,143,096   3%                                - run-at-time
     72,360,104   1%                                 - timer-activate
     72,360,104   1%                                  - timer--activate
     72,327,312   1%                                   - timer--time-less-p
        262,336   0%                                      timer--time
     39,671,048   0%                                   timer-relative-time
     27,545,000   0%                                 - timer-set-time
     27,545,000   0%                                    timer--time-setter
      7,566,944   0%                                   timer-create
     27,616,160   0%                               - seed7-inside-string-p
      4,254,088   0%                                - syntax-ppss
      4,056,976   0%                                   make-closure
        197,112   0%                                 - parse-partial-sexp
         33,152   0%                                  - internal--syntax-propertize
         29,008   0%                                   - syntax-propertize
         20,720   0%                                      seed7-mode-syntax-propertize
      9,624,986   0%                               - seed7-inside-comment-p
      4,457,418   0%                                - syntax-ppss
      4,032,112   0%                                   make-closure
        327,920   0%                                   parse-partial-sexp
         97,386   0%                                 - syntax-propertize
         89,098   0%                                    seed7-mode-syntax-propertize
      5,399,632   0%                                 make-closure
      1,317,936   0%                              - run-with-timer
      1,317,936   0%                               - run-at-time
        649,488   0%                                - timer-activate
        649,488   0%                                 - timer--activate
        649,488   0%                                    timer--time-less-p
        369,056   0%                                  timer-relative-time
        237,232   0%                                - timer-set-time
        237,232   0%                                   timer--time-setter
         62,160   0%                                  timer-create
         58,016   0%                                make-closure
        741,320   0%                             - seed7--block-name
        596,376   0%                              - seed7-re-search-forward
        476,560   0%                               - seed7-inside-string-p
         74,592   0%                                - syntax-ppss
         74,592   0%                                   make-closure
        119,816   0%                               - seed7-inside-comment-p
         57,656   0%                                - syntax-ppss
         32,792   0%                                   parse-partial-sexp
         24,864   0%                                   make-closure
         16,368   0%                                match-string
     32,937,952   0%                            - seed7-re-search-forward
     17,866,408   0%                             - seed7-inside-string-p
      2,713,600   0%                              - syntax-ppss
      2,648,016   0%                                 make-closure
         65,584   0%                                 parse-partial-sexp
     14,228,928   0%                             - seed7-inside-comment-p
     10,209,248   0%                              - syntax-ppss
      7,503,576   0%                               - syntax-propertize
      4,226,032   0%                                  seed7-mode-syntax-propertize
         32,792   0%                                  syntax-ppss-flush-cache
      2,672,880   0%                                 make-closure
         32,792   0%                                 parse-partial-sexp
      2,513,736   0%                              match-string-no-properties
      2,038,912   0%                              match-string
      1,947,464   0%                            - seed7-re-search-backward
      1,342,800   0%                             - run-with-timer
      1,342,800   0%                              - run-at-time
        645,344   0%                               - timer-activate
        645,344   0%                                - timer--activate
        645,344   0%                                   timer--time-less-p
        369,056   0%                                 timer-relative-time
        237,232   0%                               - timer-set-time
        237,232   0%                                  timer--time-setter
         91,168   0%                                 timer-create
        426,472   0%                             - seed7-inside-string-p
         45,584   0%                              - syntax-ppss
         45,584   0%                                 make-closure
        149,184   0%                             - seed7-inside-comment-p
         78,736   0%                              - syntax-ppss
         78,736   0%                                 make-closure
         29,008   0%                               make-closure
    101,292,703   2%                             looking-back
     74,711,550   1%                           - seed7-beg-of-defun
     64,010,868   1%                            - seed7-re-search-backward
     49,670,112   1%                             - run-with-timer
     49,670,112   1%                              - run-at-time
     24,595,584   0%                               - timer-activate
     24,595,584   0%                                - timer--activate
     24,595,584   0%                                   timer--time-less-p
     13,610,656   0%                                 timer-relative-time
      9,242,688   0%                               - timer-set-time
      9,242,688   0%                                  timer--time-setter
      2,221,184   0%                                 timer-create
      8,768,704   0%                             - seed7-inside-string-p
      1,649,312   0%                              - syntax-ppss
      1,649,312   0%                                 make-closure
      2,830,352   0%                             - seed7-inside-comment-p
      1,466,976   0%                              - syntax-ppss
      1,437,968   0%                                 make-closure
         29,008   0%                                 parse-partial-sexp
      1,516,704   0%                               make-closure
      1,224,996   0%                               re-search-backward
      2,813,901   0%                            - seed7-top-block-name
      1,456,568   0%                             - seed7--to-top
      1,047,000   0%                              - seed7-re-search-backward
        486,968   0%                                 re-search-backward
        439,856   0%                               - run-with-timer
        439,856   0%                                - run-at-time
        215,072   0%                                 - timer-activate
        215,072   0%                                  - timer--activate
        215,072   0%                                     timer--time-less-p
        114,912   0%                                   timer-relative-time
         72,576   0%                                 - timer-set-time
         72,576   0%                                    timer--time-setter
         37,296   0%                                   timer-create
         78,736   0%                               - seed7-inside-string-p
         12,432   0%                                - syntax-ppss
         12,432   0%                                   make-closure
         24,864   0%                               - seed7-inside-comment-p
         16,576   0%                                - syntax-ppss
         16,576   0%                                   make-closure
         16,576   0%                                 make-closure
        397,136   0%                              - run-with-timer
        397,136   0%                               - run-at-time
        197,216   0%                                - timer-activate
        197,216   0%                                 - timer--activate
        197,216   0%                                    timer--time-less-p
        114,912   0%                                  timer-relative-time
         76,720   0%                                - timer-set-time
         76,720   0%                                   timer--time-setter
          8,288   0%                                  timer-create
         12,432   0%                                make-closure
      1,340,757   0%                             - seed7--block-name
      1,291,341   0%                              - seed7-re-search-forward
        111,888   0%                                 seed7-inside-string-p
         33,152   0%                               - seed7-inside-comment-p
         16,576   0%                                - syntax-ppss
         16,576   0%                                   make-closure
      2,437,449   0%                            - seed7-re-search-backward-closest
      2,412,585   0%                             - seed7-re-search-backward
      1,500,337   0%                                re-search-backward
        862,520   0%                              - run-with-timer
        862,520   0%                               - run-at-time
        409,360   0%                                - timer-activate
        409,360   0%                                 - timer--activate
        409,360   0%                                    timer--time-less-p
        265,032   0%                                  timer-relative-time
        150,832   0%                                - timer-set-time
        150,832   0%                                   timer--time-setter
         37,296   0%                                  timer-create
         49,728   0%                                make-closure
          4,144   0%                             - seq-filter
          4,144   0%                                make-closure
      1,325,808   0%                              match-string-no-properties
      1,177,880   0%                              match-string
     31,124,304   0%                           - seed7-move-to-line
     31,124,304   0%                            - seed7-to-previous-non-empty-line
      1,710,752   0%                             - seed7-inside-comment-p
        993,840   0%                              - syntax-ppss
        928,256   0%                                 make-closure
         65,584   0%                                 parse-partial-sexp
     25,980,536   0%                           - seed7--current-line-nth-word
     23,050,728   0%                            - thing-at-point
     21,527,704   0%                             - bounds-of-thing-at-point
      8,847,440   0%                                make-closure
      3,851,224   0%                              - #<byte-code-function D43>
      3,851,224   0%                               - forward-thing
      3,851,224   0%                                  format
      3,261,328   0%                              - seq-some
      3,261,328   0%                                 make-closure
      3,144,704   0%                              - #<byte-code-function 5E6>
      3,144,704   0%                               - forward-thing
      3,144,704   0%                                  format
        193,536   0%                                re-search-forward
     13,102,898   0%                           - seed7-line-starts-with-any
     13,102,898   0%                              seed7-line-starts-with
      1,294,037   0%                           - seed7--safe-current-line-defun-start-indent
      1,269,173   0%                            - seed7-to-block-backward
      1,022,829   0%                             - seed7-re-search-backward
        588,773   0%                                re-search-backward
        334,600   0%                              - run-with-timer
        334,600   0%                               - run-at-time
        154,312   0%                                - timer-activate
        154,312   0%                                 - timer--activate
        154,312   0%                                    timer--time-less-p
         92,720   0%                                  timer-relative-time
         62,704   0%                                - timer-set-time
         62,704   0%                                   timer--time-setter
         24,864   0%                                  timer-create
         70,448   0%                              - seed7-inside-string-p
         16,576   0%                               - syntax-ppss
         16,576   0%                                  make-closure
         24,864   0%                              - seed7-inside-comment-p
          8,288   0%                               - syntax-ppss
          8,288   0%                                  make-closure
          4,144   0%                                make-closure
        146,888   0%                             - seed7--current-line-nth-word
        138,600   0%                              - thing-at-point
        124,320   0%                               - bounds-of-thing-at-point
         82,880   0%                                  make-closure
         16,576   0%                                - seq-some
         16,576   0%                                   make-closure
         74,592   0%                             - seed7-inside-line-indent-before-comment-p
         45,584   0%                              - seed7-inside-comment-p
         29,008   0%                               - syntax-ppss
         29,008   0%                                  make-closure
         16,576   0%                             - seed7-inside-comment-p
         12,432   0%                              - syntax-ppss
         12,432   0%                                 make-closure
          4,144   0%                              seed7-current-line-indent
    466,408,576  10%                          - seed7--indent-search-boundary
    430,049,865   9%                           - seed7--indent-search-boundary-uncached
    424,473,709   9%                            - syntax-ppss
    412,050,352   8%                               make-closure
     11,233,056   0%                               parse-partial-sexp
        471,353   0%                               #<byte-code-function D1E>
        161,484   0%                               syntax-table
        193,764   0%                              seed7-to-indent
    405,829,956   8%                          - seed7-line-inside-a-block-cached
    404,081,188   8%                           - seed7-line-inside-a-block
    277,629,001   5%                            - seed7--safe-enclosing-block-bounds
    276,907,945   5%                             - seed7--block-end-pos-for
    276,386,357   5%                              - seed7-to-block-forward
    103,225,891   2%                               - seed7-re-search-forward
     62,152,289   1%                                - seed7-inside-comment-p
     61,083,137   1%                                 - syntax-ppss
     59,918,673   1%                                  - syntax-propertize
     56,910,129   1%                                     seed7-mode-syntax-propertize
      1,164,464   0%                                    make-closure
      5,967,360   0%                                - seed7-inside-string-p
      1,164,464   0%                                 - syntax-ppss
      1,164,464   0%                                    make-closure
     96,178,746   2%                               - seed7-end-of-defun
     95,113,747   2%                                - seed7-top-block-name
     94,887,051   2%                                 - seed7--to-top
     93,963,291   2%                                  - seed7-re-search-backward
     78,783,889   1%                                   - run-with-timer
     78,783,889   1%                                    - run-at-time
     37,837,209   0%                                     - timer-activate
     37,837,209   0%                                      - timer--activate
     37,804,417   0%                                         timer--time-less-p
     23,204,768   0%                                       timer-relative-time
     15,238,936   0%                                     - timer-set-time
     15,238,936   0%                                        timer--time-setter
      2,502,976   0%                                       timer-create
      9,631,560   0%                                   - seed7-inside-string-p
      1,891,288   0%                                    - syntax-ppss
      1,661,744   0%                                       make-closure
        229,544   0%                                       parse-partial-sexp
      3,640,810   0%                                   - seed7-inside-comment-p
      2,020,506   0%                                    - syntax-ppss
      1,620,304   0%                                       make-closure
        299,272   0%                                       parse-partial-sexp
        100,930   0%                                     - syntax-propertize
        100,930   0%                                        seed7-mode-syntax-propertize
      1,732,192   0%                                     make-closure
         10,880   0%                                     re-search-backward
        677,640   0%                                  - run-with-timer
        677,640   0%                                   - run-at-time
        335,688   0%                                    - timer-activate
        335,688   0%                                     - timer--activate
        335,688   0%                                      - timer--time-less-p
         32,792   0%                                         timer--time
        199,424   0%                                      timer-relative-time
        130,096   0%                                    - timer-set-time
        130,096   0%                                       timer--time-setter
         12,432   0%                                      timer-create
         16,576   0%                                    make-closure
        201,832   0%                                 - seed7--block-name
        193,544   0%                                  - seed7-re-search-forward
        128,464   0%                                   - seed7-inside-string-p
          8,288   0%                                    - syntax-ppss
          8,288   0%                                       make-closure
         33,152   0%                                   - seed7-inside-comment-p
          8,288   0%                                    - syntax-ppss
          8,288   0%                                       make-closure
        843,760   0%                                - seed7-re-search-backward
        669,712   0%                                 - run-with-timer
        669,712   0%                                  - run-at-time
        319,472   0%                                   - timer-activate
        319,472   0%                                    - timer--activate
        319,472   0%                                       timer--time-less-p
        199,424   0%                                     timer-relative-time
        130,096   0%                                   - timer-set-time
        130,096   0%                                      timer--time-setter
         20,720   0%                                     timer-create
        145,040   0%                                 - seed7-inside-string-p
          4,144   0%                                  - syntax-ppss
          4,144   0%                                     make-closure
         20,720   0%                                 - seed7-inside-comment-p
         12,432   0%                                  - syntax-ppss
         12,432   0%                                     make-closure
          8,288   0%                                   make-closure
        142,530   0%                                - seed7-re-search-forward
         37,296   0%                                 - seed7-inside-string-p
          8,288   0%                                  - syntax-ppss
          8,288   0%                                     make-closure
          4,144   0%                                 - seed7-inside-comment-p
          4,144   0%                                  - syntax-ppss
          4,144   0%                                     make-closure
     38,225,256   0%                               - seed7--current-line-nth-word
     35,254,008   0%                                - thing-at-point
     32,652,464   0%                                 - bounds-of-thing-at-point
     13,430,704   0%                                    make-closure
      7,048,824   0%                                  - #<byte-code-function 6A7C>
      7,048,824   0%                                   - forward-thing
      7,048,824   0%                                      format
      4,467,232   0%                                  - seq-some
      4,467,232   0%                                     make-closure
      3,078,984   0%                                  - #<byte-code-function 2A2>
      3,078,984   0%                                   - forward-thing
      3,078,984   0%                                      format
        192,640   0%                                    re-search-forward
     32,223,080   0%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
      2,034,704   0%                                - seed7-inside-line-indent-before-comment-p
         41,440   0%                                 - seed7-inside-comment-p
         16,576   0%                                  - syntax-ppss
         16,576   0%                                     make-closure
      1,711,112   0%                                - seed7-inside-comment-p
      1,151,672   0%                                 - syntax-ppss
      1,118,880   0%                                    make-closure
         32,792   0%                                    parse-partial-sexp
      2,096,864   0%                               - seed7-inside-line-indent-before-comment-p
         41,440   0%                                - seed7-inside-comment-p
         24,864   0%                                 - syntax-ppss
         24,864   0%                                    make-closure
      1,802,640   0%                               - seed7-inside-comment-p
      1,094,016   0%                                - syntax-ppss
      1,094,016   0%                                   make-closure
      1,394,824   0%                                 seed7--end-regexp-for
        258,196   0%                              - seed7--line-ends-a-statement-p
        227,092   0%                                 looking-at
         31,104   0%                               - forward-sexp
         31,104   0%                                  seed7--forward-sexp-function
         14,336   0%                              - seed7-to-next-line-starts-with
         14,336   0%                                 seed7-re-search-forward
          9,312   0%                              - seed7-re-search-forward-closest
          9,312   0%                               - seed7-re-search-forward
          4,144   0%                                  seed7-inside-comment-p
          4,144   0%                                - seed7-inside-string-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
     77,950,485   1%                            - seed7-re-search-backward
     35,791,621   0%                               re-search-backward
     33,440,968   0%                             - run-with-timer
     33,440,968   0%                              - run-at-time
     16,586,248   0%                               - timer-activate
     16,586,248   0%                                - timer--activate
     16,586,248   0%                                 - timer--time-less-p
         98,376   0%                                    timer--time
      9,504,848   0%                                 timer-relative-time
      6,264,144   0%                               - timer-set-time
      6,264,144   0%                                  timer--time-setter
      1,085,728   0%                                 timer-create
      5,917,272   0%                             - seed7-inside-string-p
      1,305,000   0%                              - syntax-ppss
      1,272,208   0%                                 make-closure
         32,792   0%                                 parse-partial-sexp
      1,764,624   0%                             - seed7-inside-comment-p
      1,043,568   0%                              - syntax-ppss
        977,984   0%                                 make-closure
         65,584   0%                                 parse-partial-sexp
      1,036,000   0%                               make-closure
     35,750,323   0%                            - replace-regexp-in-string
      1,901,184   0%                               concat
      4,381,027   0%                            - seed7-calc-indent
      4,057,714   0%                             - seed7-line-inside-a-block-cached
      4,057,714   0%                              - seed7-line-inside-a-block
      3,971,332   0%                               - seed7--safe-enclosing-block-bounds
      3,971,332   0%                                - seed7--block-end-pos-for
      3,938,420   0%                                 - seed7-to-block-forward
      3,890,644   0%                                  - seed7-end-of-defun
      3,828,492   0%                                   - seed7-top-block-name
      3,808,248   0%                                    - seed7--to-top
      3,758,384   0%                                     - seed7-re-search-backward
      2,762,312   0%                                      - run-with-timer
      2,762,312   0%                                       - run-at-time
      1,507,240   0%                                        - timer-activate
      1,507,240   0%                                         - timer--activate
      1,408,864   0%                                          - timer--time-less-p
        721,424   0%                                             timer--time
        761,584   0%                                          timer-relative-time
        365,024   0%                                        - timer-set-time
        365,024   0%                                           timer--time-setter
        128,464   0%                                          timer-create
        463,048   0%                                      - seed7-inside-string-p
        177,112   0%                                       - syntax-ppss
         98,376   0%                                          parse-partial-sexp
         78,736   0%                                          make-closure
        443,952   0%                                      - seed7-inside-comment-p
        406,656   0%                                       - syntax-ppss
        163,960   0%                                          parse-partial-sexp
         78,736   0%                                          make-closure
         87,024   0%                                        make-closure
          2,048   0%                                        re-search-backward
         12,928   0%                                     - run-with-timer
         12,928   0%                                      - run-at-time
          4,992   0%                                       - timer-activate
          4,992   0%                                        - timer--activate
          4,992   0%                                           timer--time-less-p
          4,864   0%                                         timer-relative-time
          3,072   0%                                       - timer-set-time
          3,072   0%                                          timer--time-setter
          4,144   0%                                       make-closure
         20,244   0%                                    - seed7--block-name
         20,244   0%                                     - seed7-re-search-forward
         16,576   0%                                        seed7-inside-string-p
         49,864   0%                                   - seed7-re-search-backward
         49,864   0%                                    - run-with-timer
         49,864   0%                                     - run-at-time
         37,784   0%                                      - timer-activate
         37,784   0%                                       - timer--activate
         37,784   0%                                        - timer--time-less-p
         32,792   0%                                           timer--time
          4,864   0%                                        timer-relative-time
          4,144   0%                                        timer-create
          3,072   0%                                      - timer-set-time
          3,072   0%                                         timer--time-setter
          6,144   0%                                     seed7-re-search-forward
         18,816   0%                                  - seed7-re-search-forward
          8,288   0%                                     seed7-inside-string-p
         16,576   0%                                  - seed7--current-line-nth-word
         16,576   0%                                   - thing-at-point
         16,576   0%                                    - bounds-of-thing-at-point
          8,288   0%                                     - seq-some
          8,288   0%                                        make-closure
          4,144   0%                                       make-closure
         12,384   0%                                  - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          8,288   0%                                   - seed7-inside-comment-p
          4,144   0%                                    - syntax-ppss
          4,144   0%                                       make-closure
         14,384   0%                                 - seed7--line-ends-a-statement-p
          6,144   0%                                    looking-at
          4,096   0%                                  - forward-sexp
          4,096   0%                                     seed7--forward-sexp-function
          5,168   0%                                 - seed7-re-search-forward-closest
          1,024   0%                                    seed7-re-search-forward
          2,048   0%                                 - seed7-to-next-line-starts-with
          2,048   0%                                    seed7-re-search-forward
         64,790   0%                               - seed7-re-search-backward
         36,672   0%                                - run-with-timer
         36,672   0%                                 - run-at-time
         12,432   0%                                    timer-create
          9,360   0%                                  - timer-activate
          9,360   0%                                   - timer--activate
          9,360   0%                                      timer--time-less-p
          9,120   0%                                    timer-relative-time
          5,760   0%                                  - timer-set-time
          5,760   0%                                     timer--time-setter
         15,686   0%                                  re-search-backward
         12,432   0%                                - seed7-inside-string-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
         13,408   0%                                 replace-regexp-in-string
         51,064   0%                             - seed7-line-inside-parens-pair-column
         51,064   0%                              - seed7-line-inside-parens-pair
         46,712   0%                               - seed7-re-search-backward
         41,208   0%                                - run-with-timer
         41,208   0%                                 - run-at-time
         15,912   0%                                  - timer-activate
         15,912   0%                                   - timer--activate
         15,912   0%                                      timer--time-less-p
         15,504   0%                                    timer-relative-time
          9,792   0%                                  - timer-set-time
          9,792   0%                                     timer--time-setter
          5,504   0%                                  re-search-backward
          4,352   0%                               - forward-sexp
          4,352   0%                                  seed7--forward-sexp-function
         46,816   0%                             - seed7-line-at-endof-array-definition-block
         17,072   0%                              - backward-sexp
         17,072   0%                               - forward-sexp
         17,072   0%                                - seed7--forward-sexp-function
         10,608   0%                                 - seed7--at-set-definition-end-line-p
         10,608   0%                                  - seed7-line-code-ends-with
          6,464   0%                                   - seed7-re-search-backward
