  6,881,923,517  98% - ...
     17,546,768   0%                            - thing-at-point
     16,566,368   0%                             - bounds-of-thing-at-point
      6,104,112   0%                                make-closure
      4,926,768   0%                              - #<byte-code-function 0EF>
      4,926,768   0%                               - forward-thing
      4,926,768   0%                                  format
      2,034,704   0%                              - seq-some
      2,034,704   0%                                 make-closure
      1,448,568   0%                              - #<byte-code-function A1E>
      1,448,568   0%                               - forward-thing
      1,448,568   0%                                  format
        154,624   0%                                re-search-forward
     17,571,527   0%                           - seed7-beg-of-defun
     10,898,127   0%                            - seed7-re-search-backward
      7,650,208   0%                             - run-with-timer
      7,650,208   0%                              - run-at-time
      3,006,448   0%                               - timer-activate
      3,006,448   0%                                - timer--activate
      3,006,448   0%                                   timer--time-less-p
      2,513,440   0%                                 timer-relative-time
      1,649,616   0%                               - timer-set-time
      1,649,616   0%                                  timer--time-setter
        480,704   0%                                 timer-create
      1,516,704   0%                             - seed7-inside-string-p
        356,384   0%                              - syntax-ppss
        356,384   0%                                 make-closure
        939,711   0%                               re-search-backward
        518,000   0%                             - seed7-inside-comment-p
        285,936   0%                              - syntax-ppss
        285,936   0%                                 make-closure
        273,504   0%                               make-closure
      2,206,971   0%                            - seed7-top-block-name
      1,138,014   0%                             - seed7--to-top
        856,702   0%                              - seed7-re-search-backward
        427,614   0%                                 re-search-backward
        313,056   0%                               - run-with-timer
        313,056   0%                                - run-at-time
        146,688   0%                                 - timer-activate
        146,688   0%                                  - timer--activate
        146,688   0%                                     timer--time-less-p
         91,808   0%                                   timer-relative-time
         57,984   0%                                 - timer-set-time
         57,984   0%                                    timer--time-setter
         16,576   0%                                   timer-create
         62,160   0%                               - seed7-inside-string-p
          8,288   0%                                - syntax-ppss
          8,288   0%                                   make-closure
         33,152   0%                                 make-closure
         20,720   0%                               - seed7-inside-comment-p
         12,432   0%                                - syntax-ppss
         12,432   0%                                   make-closure
        273,024   0%                              - run-with-timer
        273,024   0%                               - run-at-time
        110,800   0%                                - timer-activate
        110,800   0%                                 - timer--activate
        110,800   0%                                    timer--time-less-p
         91,808   0%                                  timer-relative-time
         57,984   0%                                - timer-set-time
         57,984   0%                                   timer--time-setter
         12,432   0%                                  timer-create
          8,288   0%                                make-closure
      1,064,813   0%                             - seed7--block-name
      1,046,309   0%                              - seed7-re-search-forward
         70,448   0%                               - seed7-inside-string-p
         16,576   0%                                - syntax-ppss
         16,576   0%                                   make-closure
          8,288   0%                                 seed7-inside-comment-p
         10,216   0%                                match-string
      1,711,312   0%                            - seed7-re-search-backward-closest
      1,686,448   0%                             - seed7-re-search-backward
      1,128,880   0%                                re-search-backward
        540,992   0%                              - run-with-timer
        540,992   0%                               - run-at-time
        202,128   0%                                - timer-activate
        202,128   0%                                 - timer--activate
        202,128   0%                                    timer--time-less-p
        184,832   0%                                  timer-relative-time
        120,880   0%                                - timer-set-time
        120,880   0%                                   timer--time-setter
         33,152   0%                                  timer-create
         16,576   0%                                make-closure
         12,432   0%                             - seq-filter
         12,432   0%                                make-closure
        294,624   0%                              match-string-no-properties
        161,368   0%                              match-string
     14,554,590   0%                           - seed7-line-starts-with-any
     14,554,590   0%                              seed7-line-starts-with
      1,012,945   0%                           - seed7--safe-current-line-defun-start-indent
        996,369   0%                            - seed7-to-block-backward
        764,801   0%                             - seed7-re-search-backward
        466,081   0%                                re-search-backward
        240,704   0%                              - run-with-timer
        240,704   0%                               - run-at-time
        102,464   0%                                - timer-activate
        102,464   0%                                 - timer--activate
        102,464   0%                                    timer--time-less-p
         79,648   0%                                  timer-relative-time
         50,304   0%                                - timer-set-time
         50,304   0%                                   timer--time-setter
          8,288   0%                                  timer-create
         33,152   0%                              - seed7-inside-string-p
          4,144   0%                               - syntax-ppss
          4,144   0%                                  make-closure
         12,432   0%                                make-closure
         12,432   0%                              - seed7-inside-comment-p
          8,288   0%                               - syntax-ppss
          8,288   0%                                  make-closure
        165,264   0%                             - seed7--current-line-nth-word
        165,264   0%                              - thing-at-point
        161,200   0%                               - bounds-of-thing-at-point
         74,592   0%                                  make-closure
         32,736   0%                                - #<byte-code-function F58>
         32,736   0%                                 - forward-thing
         32,736   0%                                    format
         16,576   0%                                - seq-some
         16,576   0%                                   make-closure
         45,584   0%                             - seed7-inside-line-indent-before-comment-p
         12,432   0%                              - seed7-inside-comment-p
         12,432   0%                               - syntax-ppss
         12,432   0%                                  make-closure
         16,576   0%                             - seed7-inside-comment-p
          8,288   0%                              - syntax-ppss
          8,288   0%                                 make-closure
         12,432   0%                              seed7-current-line-indent
            149   0%                             line-beginning-position
    325,490,527   4%                          - seed7-line-inside-a-block-cached
    324,154,839   4%                           - seed7-line-inside-a-block
    225,454,315   3%                            - seed7--safe-enclosing-block-bounds
    224,737,403   3%                             - seed7--block-end-pos-for
    224,211,115   3%                              - seed7-to-block-forward
     92,863,127   1%                               - seed7-re-search-forward
     53,454,371   0%                                - seed7-inside-comment-p
     52,828,627   0%                                 - syntax-ppss
     51,784,699   0%                                  - syntax-propertize
     50,064,939   0%                                     seed7-mode-syntax-propertize
      1,011,136   0%                                    make-closure
         32,792   0%                                    parse-partial-sexp
      4,624,344   0%                                - seed7-inside-string-p
        944,832   0%                                 - syntax-ppss
        944,832   0%                                    make-closure
     62,113,424   0%                               - seed7-end-of-defun
     61,268,411   0%                                - seed7-top-block-name
     61,075,257   0%                                 - seed7--to-top
     60,395,249   0%                                  - seed7-re-search-backward
     51,721,192   0%                                   - run-with-timer
     51,721,192   0%                                    - run-at-time
     25,262,200   0%                                     - timer-activate
     25,262,200   0%                                      - timer--activate
     25,229,408   0%                                         timer--time-less-p
     15,145,160   0%                                       timer-relative-time
      9,950,456   0%                                     - timer-set-time
      9,950,456   0%                                        timer--time-setter
      1,363,376   0%                                       timer-create
      5,513,552   0%                                   - seed7-inside-string-p
      1,121,632   0%                                    - syntax-ppss
        990,416   0%                                       make-closure
        131,168   0%                                       parse-partial-sexp
      2,326,408   0%                                   - seed7-inside-comment-p
      1,157,800   0%                                    - syntax-ppss
        919,968   0%                                       make-closure
        237,832   0%                                       parse-partial-sexp
        824,656   0%                                     make-closure
          9,264   0%                                     re-search-backward
        499,472   0%                                  - run-with-timer
        499,472   0%                                   - run-at-time
        186,752   0%                                    - timer-activate
        186,752   0%                                     - timer--activate
        186,752   0%                                        timer--time-less-p
        173,888   0%                                      timer-relative-time
        109,824   0%                                    - timer-set-time
        109,824   0%                                       timer--time-setter
         29,008   0%                                      timer-create
         16,576   0%                                    make-closure
        180,722   0%                                 - seed7--block-name
        155,050   0%                                  - seed7-re-search-forward
        120,176   0%                                   - seed7-inside-string-p
         12,432   0%                                    - syntax-ppss
         12,432   0%                                       make-closure
         24,864   0%                                   - seed7-inside-comment-p
         20,720   0%                                    - syntax-ppss
         20,720   0%                                       make-closure
          9,200   0%                                    match-string
        681,448   0%                                - seed7-re-search-backward
        503,616   0%                                 - run-with-timer
        503,616   0%                                  - run-at-time
        182,608   0%                                   - timer-activate
        182,608   0%                                    - timer--activate
        182,608   0%                                       timer--time-less-p
        173,888   0%                                     timer-relative-time
        122,256   0%                                   - timer-set-time
        122,256   0%                                      timer--time-setter
         24,864   0%                                     timer-create
        132,248   0%                                 - seed7-inside-string-p
         12,432   0%                                  - syntax-ppss
         12,432   0%                                     make-closure
         33,152   0%                                 - seed7-inside-comment-p
         16,576   0%                                  - syntax-ppss
         16,576   0%                                     make-closure
         12,432   0%                                   make-closure
         77,357   0%                                - seed7-re-search-forward
         20,720   0%                                 - seed7-inside-string-p
          8,288   0%                                  - syntax-ppss
          8,288   0%                                     make-closure
         15,710   0%                                 - internal--syntax-propertize
         15,710   0%                                  - syntax-propertize
         15,710   0%                                     seed7-mode-syntax-propertize
         12,432   0%                                 - seed7-inside-comment-p
          4,144   0%                                  - syntax-ppss
          4,144   0%                                     make-closure
         29,576   0%                                  match-string
     34,288,659   0%                               - seed7--current-line-nth-word
     32,129,635   0%                                - thing-at-point
     28,078,104   0%                                 - bounds-of-thing-at-point
     10,061,632   0%                                    make-closure
      7,251,024   0%                                  - #<byte-code-function 8E1>
      7,251,024   0%                                   - forward-thing
      7,251,024   0%                                      format
      3,891,216   0%                                  - seq-some
      3,891,216   0%                                     make-closure
      3,118,104   0%                                  - #<byte-code-function FFD>
      3,118,104   0%                                   - forward-thing
      3,118,104   0%                                      format
        134,272   0%                                    re-search-forward
     26,106,761   0%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
      2,030,169   0%                                - seed7-inside-comment-p
      1,222,089   0%                                 - syntax-ppss
      1,156,176   0%                                    make-closure
         65,584   0%                                    parse-partial-sexp
            329   0%                                    #<byte-code-function BBF>
      1,566,432   0%                                - seed7-inside-line-indent-before-comment-p
         41,440   0%                                 - seed7-inside-comment-p
         20,720   0%                                  - syntax-ppss
         20,720   0%                                     make-closure
      4,509,384   0%                                 seed7--end-regexp-for
      2,062,992   0%                               - seed7-inside-comment-p
      1,047,712   0%                                - syntax-ppss
        982,128   0%                                   make-closure
         65,584   0%                                   parse-partial-sexp
      1,574,720   0%                               - seed7-inside-line-indent-before-comment-p
         66,304   0%                                - seed7-inside-comment-p
         37,296   0%                                 - syntax-ppss
         37,296   0%                                    make-closure
        155,776   0%                              - seed7--line-ends-a-statement-p
        137,216   0%                                 looking-at
         18,560   0%                               - forward-sexp
         18,560   0%                                  seed7--forward-sexp-function
         18,624   0%                              - seed7-re-search-forward-closest
         14,480   0%                               - seed7-re-search-forward
          8,288   0%                                - seed7-inside-string-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
          4,144   0%                                  seed7-inside-comment-p
          4,144   0%                               - seq-filter
          4,144   0%                                  make-closure
          8,192   0%                              - seed7-to-next-line-starts-with
          8,192   0%                                 seed7-re-search-forward
     62,797,181   0%                            - seed7-re-search-backward
     27,658,920   0%                             - run-with-timer
     27,658,920   0%                              - run-at-time
     10,689,336   0%                               - timer-activate
     10,689,336   0%                                - timer--activate
     10,689,336   0%                                 - timer--time-less-p
         65,584   0%                                    timer--time
      9,471,120   0%                                 timer-relative-time
      6,197,248   0%                               - timer-set-time
      6,197,248   0%                                  timer--time-setter
      1,301,216   0%                                 timer-create
     27,413,081   0%                               re-search-backward
      5,308,104   0%                             - seed7-inside-string-p
      1,110,232   0%                              - syntax-ppss
      1,077,440   0%                                 make-closure
         32,792   0%                                 parse-partial-sexp
      1,777,416   0%                             - seed7-inside-comment-p
        704,120   0%                              - syntax-ppss
        654,752   0%                                 make-closure
         49,368   0%                                 parse-partial-sexp
        629,888   0%                               make-closure
     28,402,103   0%                            - replace-regexp-in-string
        409,223   0%                               concat
      2,177,610   0%                            - seed7-calc-indent
      1,417,529   0%                             - seed7-line-inside-a-block-cached
      1,417,529   0%                              - seed7-line-inside-a-block
      1,309,379   0%                               - seed7--safe-enclosing-block-bounds
      1,305,235   0%                                - seed7--block-end-pos-for
      1,230,755   0%                                 - seed7-to-block-forward
      1,212,518   0%                                  - seed7-end-of-defun
      1,197,908   0%                                   - seed7-top-block-name
      1,194,224   0%                                    - seed7--to-top
      1,187,760   0%                                     - seed7-re-search-backward
      1,186,544   0%                                      - run-with-timer
      1,186,544   0%                                       - run-at-time
        881,008   0%                                        - timer-activate
        881,008   0%                                         - timer--activate
        881,008   0%                                          - timer--time-less-p
        590,256   0%                                             timer--time
        187,264   0%                                          timer-relative-time
        118,272   0%                                        - timer-set-time
        118,272   0%                                           timer--time-setter
          1,216   0%                                        re-search-backward
          6,464   0%                                     - run-with-timer
          6,464   0%                                      - run-at-time
          2,496   0%                                       - timer-activate
          2,496   0%                                        - timer--activate
          2,496   0%                                           timer--time-less-p
          2,432   0%                                         timer-relative-time
          1,536   0%                                       - timer-set-time
          1,536   0%                                          timer--time-setter
          3,684   0%                                    - seed7--block-name
          3,684   0%                                       seed7-re-search-forward
          6,464   0%                                   - seed7-re-search-backward
          6,464   0%                                    - run-with-timer
          6,464   0%                                     - run-at-time
          2,496   0%                                      - timer-activate
          2,496   0%                                       - timer--activate
          2,496   0%                                          timer--time-less-p
          2,432   0%                                        timer-relative-time
          1,536   0%                                      - timer-set-time
          1,536   0%                                         timer--time-setter
          4,354   0%                                     seed7-re-search-forward
         11,021   0%                                    seed7-re-search-forward
          4,144   0%                                  - seed7--current-line-nth-word
          4,144   0%                                   - thing-at-point
          4,144   0%                                    - bounds-of-thing-at-point
          4,144   0%                                       make-closure
          3,072   0%                                    seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         36,176   0%                                 - seed7-re-search-forward-closest
         27,888   0%                                  - seed7-re-search-forward
         16,576   0%                                   - seed7-inside-string-p
          8,288   0%                                    - syntax-ppss
          8,288   0%                                       make-closure
          4,144   0%                                     seed7-inside-comment-p
          5,440   0%                                 - seed7--line-ends-a-statement-p
          3,392   0%                                    looking-at
          2,048   0%                                  - forward-sexp
          2,048   0%                                     seed7--forward-sexp-function
          1,024   0%                                 - seed7-to-next-line-starts-with
          1,024   0%                                    seed7-re-search-forward
         88,606   0%                               - seed7-re-search-backward
         49,392   0%                                - run-with-timer
         49,392   0%                                 - run-at-time
         21,616   0%                                  - timer-activate
         21,616   0%                                   - timer--activate
         21,616   0%                                      timer--time-less-p
         17,024   0%                                    timer-relative-time
         10,752   0%                                  - timer-set-time
         10,752   0%                                     timer--time-setter
         16,576   0%                                  seed7-inside-string-p
         14,350   0%                                  re-search-backward
          8,288   0%                                  seed7-inside-comment-p
         18,528   0%                                 replace-regexp-in-string
          1,016   0%                                 match-string
        124,488   0%                             - seed7-line-at-endof-array-definition-block
         77,296   0%                              - seed7-line-code-ends-with
         73,152   0%                               - seed7-re-search-backward
         41,312   0%                                - run-with-timer
         41,312   0%                                 - run-at-time
         18,496   0%                                  - timer-activate
         18,496   0%                                   - timer--activate
         18,496   0%                                      timer--time-less-p
         13,984   0%                                    timer-relative-time
          8,832   0%                                  - timer-set-time
          8,832   0%                                     timer--time-setter
         23,552   0%                                  re-search-backward
          4,144   0%                                - seed7-inside-comment-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
