  5,690,614,579  99% - ...
  5,690,614,579  99%  - #<primitive-function call-interactively>
  5,690,614,579  99%   - funcall-interactively
  5,690,614,579  99%    - smex
  5,690,614,579  99%     - smex-read-and-run
  5,690,614,579  99%      - execute-extended-command
  5,690,614,579  99%       - command-execute
  5,690,614,579  99%        - call-interactively
  5,690,614,579  99%         - apply
  5,690,614,579  99%          - call-interactively@ido-cr+-record-current-command
  5,690,614,579  99%           - #<primitive-function call-interactively>
  5,690,614,579  99%            - funcall-interactively
  5,690,614,579  99%             - pel-profile-all
  5,690,614,579  99%              - pel-profile-dir
  5,690,614,579  99%               - pel-profile-indent
  5,690,614,579  99%                - pel-profile-indentation-test-of
  5,688,984,055  99%                 - call-interactively
  5,688,984,055  99%                  - apply
  5,688,984,055  99%                   - call-interactively@ido-cr+-record-current-command
  5,688,984,055  99%                    - #<primitive-function call-interactively>
  5,688,984,055  99%                     - funcall-interactively
  5,688,984,039  99%                      - seed7-complete-statement-or-indent
  5,688,984,039  99%                       - seed7-indent-region
  5,688,984,039  99%                        - seed7--indent-one-line
  5,686,642,679  99%                         - seed7-calc-indent
  4,721,804,927  82%                          - seed7-line-inside-parens-pair-column
  4,721,804,793  82%                           - seed7-line-inside-parens-pair
  4,681,870,043  82%                            - seed7-re-search-backward
  3,650,760,953  64%                             - run-with-timer
  3,650,760,953  64%                              - run-at-time
  1,397,306,260  24%                               - timer-activate
  1,397,306,260  24%                                - timer--activate
  1,397,240,676  24%                                 - timer--time-less-p
      1,417,804   0%                                    timer--time
  1,225,599,415  21%                                 timer-relative-time
    791,026,209  13%                               - timer-set-time
    791,024,224  13%                                  timer--time-setter
    236,825,456   4%                                 timer-create
          3,613   0%                                 timer-set-function
    516,599,506   9%                             - seed7-inside-string-p
    250,763,706   4%                              - syntax-ppss
    249,514,384   4%                                 make-closure
      1,246,096   0%                                 parse-partial-sexp
          1,001   0%                                 #<byte-code-function C71>
            145   0%                                 syntax-table
    268,773,540   4%                             - seed7-inside-comment-p
    238,700,532   4%                              - syntax-ppss
    237,351,744   4%                                 make-closure
      1,344,472   0%                                 parse-partial-sexp
          3,088   0%                                 #<byte-code-function 69A>
            699   0%                                 syntax-table
    231,271,550   4%                               make-closure
     14,333,326   0%                               re-search-backward
     37,868,686   0%                            - forward-sexp
     37,863,400   0%                               seed7--forward-sexp-function
        803,576   0%                            - seed7-line-inside-syntax-parens-pair
        351,880   0%                             - syntax-ppss
        319,088   0%                                make-closure
         32,792   0%                                parse-partial-sexp
    216,711,112   3%                          - seed7--indent-search-boundary
    188,053,656   3%                           - seed7--indent-search-boundary-uncached
