  1,230,236,047  99% - ...
  1,230,236,047  99%  - #<primitive-function call-interactively>
  1,230,236,047  99%   - funcall-interactively
  1,230,236,047  99%    - smex
  1,230,236,047  99%     - smex-read-and-run
  1,230,236,047  99%      - execute-extended-command
  1,230,236,047  99%       - command-execute
  1,230,236,047  99%        - call-interactively
  1,230,236,047  99%         - apply
  1,230,236,047  99%          - call-interactively@ido-cr+-record-current-command
  1,230,236,047  99%           - #<primitive-function call-interactively>
  1,230,236,047  99%            - funcall-interactively
  1,230,236,047  99%             - pel-profile-all
  1,230,236,047  99%              - pel-profile-dir
  1,230,236,047  99%               - pel-profile-indent
  1,230,236,047  99%                - pel-profile-indentation-test-of
  1,228,632,723  99%                 - call-interactively
  1,228,632,723  99%                  - apply
  1,228,632,723  99%                   - call-interactively@ido-cr+-record-current-command
  1,228,632,723  99%                    - #<primitive-function call-interactively>
  1,228,632,723  99%                     - funcall-interactively
  1,228,632,707  99%                      - seed7-complete-statement-or-indent
  1,228,632,707  99%                       - seed7-indent-region
  1,228,632,707  99%                        - seed7--indent-one-line
  1,228,628,563  99%                         - seed7-calc-indent
    380,266,087  30%                          - seed7-line-inside-parens-pair-column
    380,266,087  30%                           - seed7-line-inside-parens-pair
    374,488,352  30%                            - seed7-re-search-backward
    357,532,364  28%                             - run-with-timer
    357,532,364  28%                              - run-at-time
    174,534,435  14%                               - timer-activate
    174,534,435  14%                                - timer--activate
    174,534,435  14%                                 - timer--time-less-p
            643   0%                                    timer--time
    110,854,128   8%                                 timer-relative-time
     70,390,620   5%                               - timer-set-time
     70,390,480   5%                                  timer--time-setter
      1,752,912   0%                                 timer-create
            269   0%                                 timer-set-function
     10,568,136   0%                               re-search-backward
      3,141,152   0%                             - seed7-inside-string-p
        857,808   0%                              - syntax-ppss
        857,808   0%                                 make-closure
      2,301,593   0%                             - seed7-inside-comment-p
      1,356,761   0%                              - syntax-ppss
      1,355,088   0%                                 make-closure
            908   0%                                 #<byte-code-function 76D>
            307   0%                                 syntax-table
        945,107   0%                               make-closure
      5,777,735   0%                            - forward-sexp
      5,776,440   0%                               seed7--forward-sexp-function
    302,815,148  24%                          - seed7-line-inside-a-block-cached
    302,806,769  24%                           - seed7-line-inside-a-block
    146,960,877  11%                            - seed7--safe-enclosing-block-bounds
    146,664,436  11%                             - seed7--block-end-pos-for
    144,813,359  11%                              - seed7-to-block-forward
     54,897,792   4%                               - seed7-end-of-defun
     53,181,021   4%                                - seed7-top-block-name
     53,042,055   4%                                 - seed7--to-top
     52,178,599   4%                                  - seed7-re-search-backward
     52,111,698   4%                                   - run-with-timer
     52,111,698   4%                                    - run-at-time
     25,410,082   2%                                     - timer-activate
     25,410,082   2%                                      - timer--activate
     25,410,082   2%                                         timer--time-less-p
     16,365,488   1%                                       timer-relative-time
     10,336,128   0%                                     - timer-set-time
     10,336,128   0%                                        timer--time-setter
         57,200   0%                                     re-search-backward
          8,946   0%                                   - seed7-inside-comment-p
          8,946   0%                                    - syntax-ppss
          8,353   0%                                     - syntax-propertize
          8,353   0%                                        seed7-mode-syntax-propertize
            593   0%                                       syntax-table
            755   0%                                   - seed7-inside-string-p
            755   0%                                    - syntax-ppss
            755   0%                                       #<byte-code-function 796>
        863,456   0%                                  - run-with-timer
        863,456   0%                                   - run-at-time
        421,024   0%                                    - timer-activate
        421,024   0%                                     - timer--activate
        421,024   0%                                        timer--time-less-p
        271,168   0%                                      timer-relative-time
        171,264   0%                                    - timer-set-time
        171,264   0%                                       timer--time-setter
        138,966   0%                                 - seed7--block-name
        125,702   0%                                    seed7-re-search-forward
         13,264   0%                                    match-string
        863,456   0%                                - seed7-re-search-backward
        863,456   0%                                 - run-with-timer
        863,456   0%                                  - run-at-time
        421,024   0%                                   - timer-activate
        421,024   0%                                    - timer--activate
        421,024   0%                                       timer--time-less-p
        271,168   0%                                     timer-relative-time
        171,264   0%                                   - timer-set-time
        171,264   0%                                      timer--time-setter
        567,139   0%                                - seed7-re-search-forward
        179,635   0%                                 - internal--syntax-propertize
        179,635   0%                                  - syntax-propertize
        179,635   0%                                     seed7-mode-syntax-propertize
         90,815   0%                                 - seed7-inside-comment-p
         90,815   0%                                  - syntax-ppss
         90,815   0%                                   - syntax-propertize
         90,815   0%                                      seed7-mode-syntax-propertize
         28,504   0%                                  match-string
     39,741,827   3%                               - seed7--current-line-nth-word
     38,976,506   3%                                - thing-at-point
     27,511,864   2%                                 - bounds-of-thing-at-point
     14,113,780   1%                                  - #<byte-code-function 48A>
     14,111,057   1%                                   - forward-thing
     14,109,216   1%                                      format
          1,841   0%                                      intern-soft
      7,316,751   0%                                  - #<byte-code-function 3C3>
      7,316,751   0%                                   - forward-thing
      7,316,496   0%                                      format
            255   0%                                      intern-soft
      3,476,816   0%                                    make-closure
      1,065,715   0%                                  - seq-some
      1,065,008   0%                                     make-closure
        208,578   0%                                    re-search-forward
     33,819,625   2%                               - seed7-re-search-forward
      9,340,560   0%                                - seed7-inside-comment-p
      8,830,848   0%                                 - syntax-ppss
      8,092,550   0%                                  - syntax-propertize
      8,067,686   0%                                     seed7-mode-syntax-propertize
        733,488   0%                                    make-closure
          1,635   0%                                    #<byte-code-function C09>
          1,155   0%                                    syntax-table
      3,379,813   0%                                - seed7-inside-string-p
        847,829   0%                                 - syntax-ppss
        845,376   0%                                    make-closure
            462   0%                                    #<byte-code-function B75>
