      2,269,730 100% - ...
      2,269,730 100%  - #<primitive-function call-interactively>
      2,269,730 100%   - funcall-interactively
      2,269,730 100%    - smex
      2,269,730 100%     - smex-read-and-run
      2,269,730 100%      - execute-extended-command
      2,269,730 100%       - command-execute
      2,269,730 100%        - call-interactively
      2,269,730 100%         - apply
      2,269,730 100%          - call-interactively@ido-cr+-record-current-command
      2,269,730 100%           - #<primitive-function call-interactively>
      2,269,730 100%            - funcall-interactively
      2,269,730 100%             - pel-profile-all
      2,269,730 100%              - pel-profile-dir
      2,269,730 100%               - pel-profile-indent
      2,269,730 100%                - pel-profile-indentation-test-of
          1,024   0%                               seed7-line-after-func-return-logic-operator-column
          1,024   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-indent-step
         22,360   0%                            - seed7-re-search-backward
         12,120   0%                             - run-with-timer
         12,120   0%                              - run-at-time
          4,680   0%                               - timer-activate
          4,680   0%                                - timer--activate
          4,680   0%                                   timer--time-less-p
          4,560   0%                                 timer-relative-time
          2,880   0%                               - timer-set-time
          2,880   0%                                  timer--time-setter
         10,240   0%                               re-search-backward
         10,240   0%                              replace-regexp-in-string
        110,016   4%                          - seed7-line-is-defun-end
         42,096   1%                           - seed7-line-starts-with-any
         42,096   1%                              seed7-line-starts-with
         27,648   1%                             looking-back
         22,072   0%                           - seed7-beg-of-defun
         10,208   0%                            - seed7-re-search-backward-closest
         10,208   0%                             - seed7-re-search-backward
          6,976   0%                                re-search-backward
          3,232   0%                              - run-with-timer
          3,232   0%                               - run-at-time
          1,248   0%                                - timer-activate
          1,248   0%                                 - timer--activate
          1,248   0%                                    timer--time-less-p
          1,216   0%                                  timer-relative-time
            768   0%                                - timer-set-time
            768   0%                                   timer--time-setter
          7,336   0%                            - seed7-re-search-backward
          5,720   0%                               re-search-backward
          1,616   0%                             - run-with-timer
          1,616   0%                              - run-at-time
            624   0%                               - timer-activate
            624   0%                                - timer--activate
            624   0%                                   timer--time-less-p
            608   0%                                 timer-relative-time
            384   0%                               - timer-set-time
            384   0%                                  timer--time-setter
          9,200   0%                           - seed7--current-line-nth-word
          9,200   0%                            - thing-at-point
          8,184   0%                             - bounds-of-thing-at-point
          8,184   0%                              - #<byte-code-function 405>
          8,184   0%                               - forward-thing
          8,184   0%                                  format
          8,192   0%                           - seed7-move-to-line
          8,192   0%                              seed7-to-previous-non-empty-line
