  4,474,201,227  98% - ...
  4,474,201,227  98%  - #<primitive-function call-interactively>
  4,474,201,227  98%   - funcall-interactively
  4,474,201,227  98%    - smex
  4,474,201,227  98%     - smex-read-and-run
  4,474,201,227  98%      - execute-extended-command
  4,474,201,227  98%       - command-execute
  4,474,201,227  98%        - call-interactively
  4,474,201,227  98%         - apply
  4,474,201,227  98%          - call-interactively@ido-cr+-record-current-command
  4,474,201,227  98%           - #<primitive-function call-interactively>
  4,474,201,227  98%            - funcall-interactively
  4,474,201,227  98%             - pel-profile-all
  4,474,201,227  98%              - pel-profile-dir
  4,474,201,227  98%               - pel-profile-indent
  4,474,201,227  98%                - pel-profile-indentation-test-of
  4,472,597,903  97%                 - call-interactively
  4,472,597,903  97%                  - apply
  4,472,597,903  97%                   - call-interactively@ido-cr+-record-current-command
  4,472,597,903  97%                    - #<primitive-function call-interactively>
  4,472,597,903  97%                     - funcall-interactively
  4,472,597,887  97%                      - seed7-complete-statement-or-indent
  4,472,597,887  97%                       - seed7-indent-region
  4,472,597,887  97%                        - seed7--indent-one-line
  4,472,477,692  97%                         - seed7-calc-indent
  3,472,711,540  76%                          - seed7-line-inside-parens-pair-column
  3,472,711,540  76%                           - seed7-line-inside-parens-pair
  3,464,461,617  75%                            - seed7-re-search-backward
  2,090,129,839  45%                             - run-with-timer
  2,090,129,839  45%                              - run-at-time
  1,816,382,105  39%                               - timer-set-time
  1,816,274,280  39%                                  timer--time-setter
    272,894,832   5%                                 timer-create
        686,126   0%                               - timer-activate
        686,126   0%                                - timer--activate
        652,798   0%                                 - timer--time-less-p
        652,798   0%                                    timer--time
        166,776   0%                                 timer-set-function
    717,262,350  15%                             - seed7-inside-string-p
    319,156,558   6%                              - syntax-ppss
    318,532,704   6%                                 make-closure
        491,880   0%                                 parse-partial-sexp
         20,534   0%                                 syntax-table
         13,136   0%                                 #<byte-code-function B56>
    375,272,596   8%                             - seed7-inside-comment-p
    280,528,324   6%                              - syntax-ppss
    279,943,776   6%                                 make-closure
        427,736   0%                                 parse-partial-sexp
         60,068   0%                                 syntax-table
         42,767   0%                                 #<byte-code-function 568>
    260,268,145   5%                               make-closure
     21,495,895   0%                               re-search-backward
      6,648,715   0%                            - forward-sexp
      6,347,376   0%                               seed7--forward-sexp-function
      1,326,440   0%                            - seed7-line-inside-syntax-parens-pair
      1,198,336   0%                             - forward-sexp
      1,198,336   0%                                seed7--forward-sexp-function
         99,096   0%                             - syntax-ppss
         66,304   0%                                make-closure
         32,792   0%                                parse-partial-sexp
    246,222,343   5%                          - seed7-line-inside-a-block-cached
    246,151,895   5%                           - seed7-line-inside-a-block
    166,892,684   3%                            - seed7--safe-enclosing-block-bounds
    166,871,964   3%                             - seed7--block-end-pos-for
    166,374,812   3%                              - seed7-to-block-forward
     82,327,442   1%                               - seed7-re-search-forward
     48,607,656   1%                                - seed7-inside-comment-p
     48,577,016   1%                                 - syntax-ppss
     48,548,008   1%                                  - syntax-propertize
     48,456,840   1%                                     seed7-mode-syntax-propertize
         29,008   0%                                    make-closure
        227,560   0%                                - seed7-inside-string-p
         45,584   0%                                 - syntax-ppss
         45,584   0%                                    make-closure
     48,145,257   1%                               - seed7-end-of-defun
     47,578,364   1%                                - seed7-top-block-name
     47,555,090   1%                                 - seed7--to-top
     47,092,930   1%                                  - seed7-re-search-backward
     47,021,866   1%                                   - run-with-timer
     47,021,866   1%                                    - run-at-time
     22,360,618   0%                                     - timer-activate
     22,360,618   0%                                      - timer--activate
     22,360,618   0%                                         timer--time-less-p
     15,112,400   0%                                       timer-relative-time
      9,548,848   0%                                     - timer-set-time
      9,548,848   0%                                        timer--time-setter
