  1,240,035,821  99% - ...
        230,640   0%                                 seed7-re-search-forward
         27,776   0%                              - seed7-re-search-forward-closest
         27,776   0%                                 seed7-re-search-forward
    126,493,284  10%                            - seed7-re-search-backward
    111,679,633   8%                             - run-with-timer
    111,679,633   8%                              - run-at-time
     54,096,893   4%                               - timer-activate
     54,096,893   4%                                - timer--activate
     54,096,893   4%                                 - timer--time-less-p
            918   0%                                    timer--time
     35,040,736   2%                                 timer-relative-time
     22,222,419   1%                               - timer-set-time
     22,218,096   1%                                  timer--time-setter
        319,088   0%                                 timer-create
            497   0%                                 timer-set-function
     13,313,794   1%                               re-search-backward
        978,506   0%                             - seed7-inside-string-p
        203,578   0%                              - syntax-ppss
        203,056   0%                                 make-closure
             82   0%                                 #<byte-code-function 74B>
        359,088   0%                             - seed7-inside-comment-p
        185,040   0%                              - syntax-ppss
        182,336   0%                                 make-closure
          1,614   0%                                 #<byte-code-function F8E>
          1,090   0%                                 syntax-table
        161,591   0%                               make-closure
     17,459,251   1%                            - replace-regexp-in-string
      1,780,230   0%                               concat
            149   0%                               #<byte-code-function 4F4>
      5,384,792   0%                              match-string
      2,158,816   0%                              seed7--indent-offset-for
      1,228,946   0%                            - seed7-calc-indent
        295,208   0%                             - seed7-line-inside-parens-pair-column
        295,208   0%                              - seed7-line-inside-parens-pair
        280,872   0%                               - seed7-re-search-backward
        259,368   0%                                - run-with-timer
        259,368   0%                                 - run-at-time
        100,152   0%                                  - timer-activate
        100,152   0%                                   - timer--activate
        100,152   0%                                      timer--time-less-p
         97,584   0%                                    timer-relative-time
         61,632   0%                                  - timer-set-time
         61,632   0%                                     timer--time-setter
         21,504   0%                                  re-search-backward
         14,336   0%                               - forward-sexp
         14,336   0%                                  seed7--forward-sexp-function
        151,028   0%                             - seed7-line-is-defun-end
         51,484   0%                              - seed7-beg-of-defun
         18,172   0%                               - seed7-re-search-backward
         14,940   0%                                  re-search-backward
          3,232   0%                                - run-with-timer
          3,232   0%                                 - run-at-time
          1,248   0%                                  - timer-activate
          1,248   0%                                   - timer--activate
          1,248   0%                                      timer--time-less-p
          1,216   0%                                    timer-relative-time
            768   0%                                  - timer-set-time
            768   0%                                     timer--time-setter
         15,568   0%                               - seed7-re-search-backward-closest
         15,568   0%                                - seed7-re-search-backward
          9,104   0%                                   re-search-backward
          6,464   0%                                 - run-with-timer
          6,464   0%                                  - run-at-time
          2,496   0%                                   - timer-activate
          2,496   0%                                    - timer--activate
          2,496   0%                                       timer--time-less-p
          2,432   0%                                     timer-relative-time
          1,536   0%                                   - timer-set-time
          1,536   0%                                      timer--time-setter
         48,256   0%                              - seed7-line-starts-with-any
         48,256   0%                                 seed7-line-starts-with
         38,000   0%                                looking-back
         10,216   0%                              - seed7--current-line-nth-word
         10,216   0%                               - thing-at-point
          8,184   0%                                - bounds-of-thing-at-point
          8,184   0%                                 - #<byte-code-function 9F9>
          8,184   0%                                  - forward-thing
          8,184   0%                                     format
          3,072   0%                              - seed7-move-to-line
          3,072   0%                                 seed7-to-previous-non-empty-line
        137,168   0%                             - seed7-line-at-endof-array-definition-block
         89,760   0%                              - seed7-line-code-ends-with
         89,760   0%                               - seed7-re-search-backward
         54,944   0%                                - run-with-timer
         54,944   0%                                 - run-at-time
         21,216   0%                                  - timer-activate
         21,216   0%                                   - timer--activate
         21,216   0%                                      timer--time-less-p
         20,672   0%                                    timer-relative-time
         13,056   0%                                  - timer-set-time
         13,056   0%                                     timer--time-setter
         34,816   0%                                  re-search-backward
         29,088   0%                              - backward-sexp
         29,088   0%                               - forward-sexp
         29,088   0%                                - seed7--forward-sexp-function
         14,544   0%                                 - seed7--at-array-definition-end-line-p
         14,544   0%                                  - seed7-line-code-ends-with
         14,544   0%                                   - seed7-re-search-backward
         14,544   0%                                    - run-with-timer
         14,544   0%                                     - run-at-time
          5,616   0%                                      - timer-activate
          5,616   0%                                       - timer--activate
          5,616   0%                                          timer--time-less-p
          5,472   0%                                        timer-relative-time
          3,456   0%                                      - timer-set-time
          3,456   0%                                         timer--time-setter
         14,544   0%                                 - seed7--at-set-definition-end-line-p
         14,544   0%                                  - seed7-line-code-ends-with
         14,544   0%                                   - seed7-re-search-backward
         14,544   0%                                    - run-with-timer
         14,544   0%                                     - run-at-time
          5,616   0%                                      - timer-activate
          5,616   0%                                       - timer--activate
          5,616   0%                                          timer--time-less-p
          5,472   0%                                        timer-relative-time
          3,456   0%                                      - timer-set-time
          3,456   0%                                         timer--time-setter
         10,240   0%                                looking-at
          8,080   0%                              - seed7-re-search-backward
          8,080   0%                               - run-with-timer
          8,080   0%                                - run-at-time
          3,120   0%                                 - timer-activate
          3,120   0%                                  - timer--activate
          3,120   0%                                     timer--time-less-p
          3,040   0%                                   timer-relative-time
          1,920   0%                                 - timer-set-time
          1,920   0%                                    timer--time-setter
        121,752   0%                             - seed7-line-inside-a-block-cached
        121,752   0%                              - seed7-line-inside-a-block
         62,400   0%                               - seed7-re-search-backward
         54,944   0%                                - run-with-timer
         54,944   0%                                 - run-at-time
         21,216   0%                                  - timer-activate
         21,216   0%                                   - timer--activate
         21,216   0%                                      timer--time-less-p
         20,672   0%                                    timer-relative-time
         13,056   0%                                  - timer-set-time
         13,056   0%                                     timer--time-setter
          7,456   0%                                  re-search-backward
         36,840   0%                               - seed7--safe-enclosing-block-bounds
         36,840   0%                                - seed7--block-end-pos-for
         14,336   0%                                 - seed7--line-ends-a-statement-p
         12,288   0%                                    looking-at
          2,048   0%                                  - forward-sexp
          2,048   0%                                     seed7--forward-sexp-function
         14,312   0%                                 - seed7-to-block-forward
         10,216   0%                                  - seed7--current-line-nth-word
         10,216   0%                                   - thing-at-point
          8,184   0%                                    - bounds-of-thing-at-point
          8,184   0%                                     - #<byte-code-function 9FF>
          8,184   0%                                      - forward-thing
          8,184   0%                                         format
          2,048   0%                                    seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          2,048   0%                                    seed7-re-search-forward
          2,048   0%                                 - seed7-re-search-forward-closest
          2,048   0%                                    seed7-re-search-forward
         14,328   0%                                 replace-regexp-in-string
          8,184   0%                                 match-string
         95,094   0%                             - seed7-line-after-short-func-end
         21,296   0%                              - seed7-to-block-backward
         20,280   0%                               - seed7-re-search-backward
         11,392   0%                                  re-search-backward
          8,888   0%                                - run-with-timer
          8,888   0%                                 - run-at-time
          3,432   0%                                  - timer-activate
          3,432   0%                                   - timer--activate
          3,432   0%                                      timer--time-less-p
          3,344   0%                                    timer-relative-time
          2,112   0%                                  - timer-set-time
          2,112   0%                                     timer--time-setter
          1,016   0%                               - seed7--current-line-nth-word
          1,016   0%                                  thing-at-point
