  6,213,940,273  99% - ...
     15,071,337   0%                            - seed7-re-search-backward-closest
     14,929,377   0%                             - seed7-re-search-backward
      9,167,848   0%                                re-search-backward
      5,641,353   0%                              - run-with-timer
      5,641,353   0%                               - run-at-time
      3,203,513   0%                                - timer-activate
      3,203,513   0%                                 - timer--activate
      3,203,513   0%                                    timer--time-less-p
      1,415,424   0%                                  timer-relative-time
        910,528   0%                                - timer-set-time
        910,528   0%                                   timer--time-setter
        111,888   0%                                  timer-create
        120,176   0%                                make-closure
         54,936   0%                             - seq-filter
         53,872   0%                                make-closure
          1,064   0%                                make-symbol
     12,068,973   0%                            - seed7-re-search-backward
      5,678,349   0%                               re-search-backward
      5,313,184   0%                             - run-with-timer
      5,313,184   0%                              - run-at-time
      2,714,320   0%                               - timer-activate
      2,714,320   0%                                - timer--activate
      2,714,320   0%                                   timer--time-less-p
      1,437,920   0%                                 timer-relative-time
        937,168   0%                               - timer-set-time
        937,168   0%                                  timer--time-setter
        223,776   0%                                 timer-create
        675,472   0%                             - seed7-inside-string-p
        140,896   0%                              - syntax-ppss
        140,896   0%                                 make-closure
        256,928   0%                             - seed7-inside-comment-p
        165,760   0%                              - syntax-ppss
        165,760   0%                                 make-closure
        145,040   0%                               make-closure
        307,000   0%                              match-string
        191,376   0%                              match-string-no-properties
          1,048   0%                              seed7--no-defun-found-msg-for
          1,048   0%                            - user-error
          1,048   0%                               format-message
     22,364,877   0%                           - seed7-line-starts-with-any
     22,364,877   0%                              seed7-line-starts-with
      7,343,441   0%                           - seed7--current-line-nth-word
      7,016,065   0%                            - thing-at-point
      6,422,089   0%                             - bounds-of-thing-at-point
      1,889,664   0%                                make-closure
      1,495,728   0%                              - #<byte-code-function 3FF>
      1,495,728   0%                               - forward-thing
      1,495,728   0%                                  format
      1,275,352   0%                                re-search-forward
        610,208   0%                              - #<byte-code-function 9219>
        610,208   0%                               - forward-thing
        610,208   0%                                  format
        529,537   0%                              - seq-some
        526,288   0%                                 make-closure
      6,416,197   0%                           - seed7-move-to-line
      6,416,197   0%                            - seed7-to-previous-non-empty-line
        348,229   0%                             - seed7-inside-comment-p
        199,045   0%                              - syntax-ppss
        198,912   0%                                 make-closure
        313,410   0%                           - seed7--safe-current-line-defun-start-indent
        309,266   0%                            - seed7-to-block-backward
        238,922   0%                             - seed7-re-search-backward
        111,970   0%                                re-search-backward
        102,088   0%                              - run-with-timer
        102,088   0%                               - run-at-time
         46,856   0%                                - timer-activate
         46,856   0%                                 - timer--activate
         46,856   0%                                    timer--time-less-p
         31,312   0%                                  timer-relative-time
         19,776   0%                                - timer-set-time
         19,776   0%                                   timer--time-setter
          4,144   0%                                  timer-create
         16,576   0%                              - seed7-inside-string-p
          4,144   0%                               - syntax-ppss
          4,144   0%                                  make-closure
          4,144   0%                                seed7-inside-comment-p
          4,144   0%                                make-closure
         57,912   0%                             - seed7--current-line-nth-word
         49,624   0%                              - thing-at-point
         41,440   0%                               - bounds-of-thing-at-point
         20,720   0%                                  make-closure
          4,144   0%                                - seq-some
          4,144   0%                                   make-closure
          8,288   0%                             - seed7-inside-line-indent-before-comment-p
          4,144   0%                              - seed7-inside-comment-p
          4,144   0%                               - syntax-ppss
          4,144   0%                                  make-closure
          4,144   0%                             - seed7-inside-comment-p
          4,144   0%                              - syntax-ppss
          4,144   0%                                 make-closure
  1,166,128,536  18%                          - seed7-line-inside-parens-pair-column
  1,166,128,536  18%                           - seed7-line-inside-parens-pair
  1,161,195,000  18%                            - seed7-re-search-backward
    999,532,875  16%                             - run-with-timer
    999,532,875  16%                              - run-at-time
    552,033,542   8%                               - timer-activate
    552,033,542   8%                                - timer--activate
    552,000,750   8%                                 - timer--time-less-p
        498,760   0%                                    timer--time
    251,616,722   4%                                 timer-relative-time
    166,575,812   2%                               - timer-set-time
    166,558,912   2%                                  timer--time-setter
     29,285,648   0%                                 timer-create
         21,151   0%                                 timer-set-function
     92,224,423   1%                             - seed7-inside-string-p
     26,281,671   0%                              - syntax-ppss
     25,999,456   0%                                 make-closure
        196,752   0%                                 parse-partial-sexp
         29,228   0%                                 #<byte-code-function A09>
          8,893   0%                                 syntax-table
     44,208,299   0%                             - seed7-inside-comment-p
     27,176,459   0%                              - syntax-ppss
     26,836,544   0%                                 make-closure
        262,336   0%                                 parse-partial-sexp
         25,912   0%                                 #<byte-code-function 289>
          6,749   0%                                 syntax-table
     19,115,661   0%                               make-closure
      6,080,950   0%                               re-search-backward
      4,507,160   0%                            - forward-sexp
      4,491,112   0%                               seed7--forward-sexp-function
        335,208   0%                            - seed7-line-inside-syntax-parens-pair
        215,128   0%                             - syntax-ppss
        182,336   0%                                make-closure
         32,792   0%                                parse-partial-sexp
          8,192   0%                             - forward-sexp
          8,192   0%                                seed7--forward-sexp-function
